交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2018/11/01,PDF,201811  ,128,137,128,137,7,5.38%,9.0,137,5,128,-,137,128,,一般,,
2018/11/01,PDF,201812  ,-,-,-,-,-,-,0.0,137,0,-,-,-,-,,一般,,
2018/11/01,PDF,201903  ,-,-,-,-,-,-,0.0,137.5,0,-,-,-,-,,一般,,
2018/11/01,PDF,201906  ,-,-,-,-,-,-,0.0,137.5,0,-,-,-,-,,一般,,
2018/11/01,PDF,201909  ,-,-,-,-,-,-,0.0,138,0,-,-,-,-,,一般,,
2018/11/02,PDF,201811  ,137.5,137.5,137.5,137.5,0.5,0.36%,1.0,136.5,6,136.5,-,137.5,128,,一般,,
2018/11/02,PDF,201812  ,-,-,-,-,-,-,0.0,136.5,0,136,-,-,-,,一般,,
2018/11/02,PDF,201903  ,-,-,-,-,-,-,0.0,137,0,-,-,-,-,,一般,,
2018/11/02,PDF,201906  ,-,-,-,-,-,-,0.0,137,0,-,-,-,-,,一般,,
2018/11/02,PDF,201909  ,-,-,-,-,-,-,0.0,137.5,0,-,-,-,-,,一般,,
2018/11/05,PDF,201811  ,136,137.5,134,137,0.5,0.37%,30.0,137,10,127.5,139.5,137.5,128,,一般,,
2018/11/05,PDF,201812  ,135.5,137.5,135,136.5,0,0.00%,20.0,136.5,9,127,139.5,137.5,135,,一般,,
2018/11/05,PDF,201903  ,-,-,-,-,-,-,0.0,137.5,0,-,-,-,-,,一般,,
2018/11/05,PDF,201906  ,-,-,-,-,-,-,0.0,137.5,0,-,-,-,-,,一般,,
2018/11/05,PDF,201909  ,-,-,-,-,-,-,0.0,138,0,-,-,-,-,,一般,,
2018/11/06,PDF,201811  ,136.5,136.5,136.5,136.5,-0.5,-0.36%,2.0,137.5,10,124,137.5,137.5,128,,一般,,
2018/11/06,PDF,201812  ,136.5,136.5,136.5,136.5,0,0.00%,1.0,137,10,123.5,137.5,137.5,135,,一般,,
2018/11/06,PDF,201903  ,-,-,-,-,-,-,0.0,138,0,-,-,-,-,,一般,,
2018/11/06,PDF,201906  ,-,-,-,-,-,-,0.0,138,0,-,-,-,-,,一般,,
2018/11/06,PDF,201909  ,-,-,-,-,-,-,0.0,138.5,0,-,-,-,-,,一般,,
2018/11/07,PDF,201811  ,139,139,139,139,1.5,1.09%,1.0,136,10,127.5,144,139,128,,一般,,
2018/11/07,PDF,201812  ,-,-,-,-,-,-,0.0,135.5,10,126.5,144,137.5,135,,一般,,
2018/11/07,PDF,201903  ,-,-,-,-,-,-,0.0,136.5,0,-,-,-,-,,一般,,
2018/11/07,PDF,201906  ,-,-,-,-,-,-,0.0,136.5,0,-,-,-,-,,一般,,
2018/11/07,PDF,201909  ,-,-,-,-,-,-,0.0,137,0,-,-,-,-,,一般,,
2018/11/08,PDF,201811  ,139,140.5,139,140.5,4.5,3.31%,3.0,140.5,9,-,-,140.5,128,,一般,,
2018/11/08,PDF,201812  ,-,-,-,-,-,-,0.0,140,10,-,-,137.5,135,,一般,,
2018/11/08,PDF,201903  ,-,-,-,-,-,-,0.0,141,0,-,-,-,-,,一般,,
2018/11/08,PDF,201906  ,-,-,-,-,-,-,0.0,141,0,-,-,-,-,,一般,,
2018/11/08,PDF,201909  ,-,-,-,-,-,-,0.0,141.5,0,-,-,-,-,,一般,,
2018/11/09,PDF,201811  ,136.5,138.5,136,138.5,-2,-1.42%,12.0,138.5,10,-,-,140.5,128,,一般,,
2018/11/09,PDF,201812  ,136,136,136,136,-4,-2.86%,5.0,136,10,-,-,137.5,135,,一般,,
2018/11/09,PDF,201903  ,-,-,-,-,-,-,0.0,139,0,-,-,-,-,,一般,,
2018/11/09,PDF,201906  ,-,-,-,-,-,-,0.0,139,0,-,-,-,-,,一般,,
2018/11/09,PDF,201909  ,-,-,-,-,-,-,0.0,139.5,0,-,-,-,-,,一般,,
2018/11/12,PDF,201811  ,132.5,132.5,132.5,132.5,-6,-4.33%,1.0,132.5,10,-,134,140.5,128,,一般,,
2018/11/12,PDF,201812  ,-,-,-,-,-,-,0.0,130,10,-,134,137.5,135,,一般,,
2018/11/12,PDF,201903  ,-,-,-,-,-,-,0.0,133,0,-,-,-,-,,一般,,
2018/11/12,PDF,201906  ,-,-,-,-,-,-,0.0,133,0,-,-,-,-,,一般,,
2018/11/12,PDF,201909  ,-,-,-,-,-,-,0.0,133.5,0,-,-,-,-,,一般,,
2018/11/13,PDF,201811  ,130,130,130,130,-2.5,-1.89%,1.0,130,10,-,135,140.5,128,,一般,,
2018/11/13,PDF,201812  ,-,-,-,-,-,-,0.0,127.5,10,-,135,137.5,135,,一般,,
2018/11/13,PDF,201903  ,-,-,-,-,-,-,0.0,130.5,0,-,-,-,-,,一般,,
2018/11/13,PDF,201906  ,-,-,-,-,-,-,0.0,130.5,0,-,-,-,-,,一般,,
2018/11/13,PDF,201909  ,-,-,-,-,-,-,0.0,131,0,-,-,-,-,,一般,,
2018/11/14,PDF,201811  ,130.5,131,130.5,131,1,0.77%,2.0,135,10,120.5,142.5,140.5,128,,一般,,
