交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2018/11/01,PFF,201811  ,-,-,-,-,-,-,0.0,24.09,0,23.8,-,-,-,,一般,,
2018/11/01,PFF,201812  ,24.09,24.09,24.09,24.09,0.28,1.18%,1.0,24.09,1,23.76,-,24.09,24.09,,一般,,
2018/11/01,PFF,201903  ,-,-,-,-,-,-,0.0,24.16,0,21.92,-,-,-,,一般,,
2018/11/01,PFF,201906  ,-,-,-,-,-,-,0.0,24.18,0,21.92,-,-,-,,一般,,
2018/11/01,PFF,201909  ,-,-,-,-,-,-,0.0,24.26,0,21.92,-,-,-,,一般,,
2018/11/02,PFF,201811  ,-,-,-,-,-,-,0.0,24.19,0,-,-,-,-,,一般,,
2018/11/02,PFF,201812  ,-,-,-,-,-,-,0.0,24.19,1,-,-,24.09,24.09,,一般,,
2018/11/02,PFF,201903  ,-,-,-,-,-,-,0.0,24.26,0,-,-,-,-,,一般,,
2018/11/02,PFF,201906  ,-,-,-,-,-,-,0.0,24.28,0,-,-,-,-,,一般,,
2018/11/02,PFF,201909  ,-,-,-,-,-,-,0.0,24.36,0,-,-,-,-,,一般,,
2018/11/05,PFF,201811  ,-,-,-,-,-,-,0.0,24.19,0,-,-,-,-,,一般,,
2018/11/05,PFF,201812  ,-,-,-,-,-,-,0.0,24.19,1,-,-,24.09,24.09,,一般,,
2018/11/05,PFF,201903  ,-,-,-,-,-,-,0.0,24.26,0,-,-,-,-,,一般,,
2018/11/05,PFF,201906  ,-,-,-,-,-,-,0.0,24.28,0,-,-,-,-,,一般,,
2018/11/05,PFF,201909  ,-,-,-,-,-,-,0.0,24.36,0,-,-,-,-,,一般,,
2018/11/06,PFF,201811  ,-,-,-,-,-,-,0.0,24.09,0,23.95,24.18,-,-,,一般,,
2018/11/06,PFF,201812  ,-,-,-,-,-,-,0.0,24.09,1,23.94,24.17,24.09,24.09,,一般,,
2018/11/06,PFF,201903  ,-,-,-,-,-,-,0.0,24.16,0,21.97,26.16,-,-,,一般,,
2018/11/06,PFF,201906  ,-,-,-,-,-,-,0.0,24.18,0,21.97,26.16,-,-,,一般,,
2018/11/06,PFF,201909  ,-,-,-,-,-,-,0.0,24.26,0,21.97,26.16,-,-,,一般,,
2018/11/07,PFF,201811  ,-,-,-,-,-,-,0.0,24.22,0,21.83,25.99,-,-,,一般,,
2018/11/07,PFF,201812  ,24.17,24.17,24.17,24.17,0.08,0.33%,1.0,24.17,0,21.81,26.02,24.17,24.09,,一般,,
2018/11/07,PFF,201903  ,-,-,-,-,-,-,0.0,24.29,0,-,-,-,-,,一般,,
