交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2019/01/25,PGF,201902  ,30.95,30.95,30.9,30.9,0,0.00%,2.0,30.9,1,27.95,31.35,30.95,30.9,,一般,,
2019/01/25,PGF,201903  ,-,-,-,-,-,-,0.0,30.95,0,27.95,31.45,-,-,,一般,,
2019/01/25,PGF,201906  ,-,-,-,-,-,-,0.0,31,0,-,-,-,-,,一般,,
2019/01/25,PGF,201909  ,-,-,-,-,-,-,0.0,31.1,0,-,-,-,-,,一般,,
2019/01/25,PGF,201912  ,-,-,-,-,-,-,0.0,31.15,0,-,-,-,-,,一般,,
2019/01/28,PGF,201902  ,-,-,-,-,-,-,0.0,31,1,30.8,31.2,30.95,30.9,,一般,,
2019/01/28,PGF,201903  ,-,-,-,-,-,-,0.0,31.05,0,30.7,31.3,-,-,,一般,,
2019/01/28,PGF,201906  ,-,-,-,-,-,-,0.0,31.1,0,-,-,-,-,,一般,,
2019/01/28,PGF,201909  ,-,-,-,-,-,-,0.0,31.2,0,-,-,-,-,,一般,,
2019/01/28,PGF,201912  ,-,-,-,-,-,-,0.0,31.25,0,-,-,-,-,,一般,,
2019/01/29,PGF,201902  ,31,-,-,31,0,0.00%,2.0,31.05,3,30.9,31.15,30.95,30.9,,一般,,
2019/01/29,PGF,201903  ,31.05,-,-,31.05,0,0.00%,2.0,31.1,2,30.85,31.15,-,-,,一般,,
2019/01/29,PGF,201906  ,31.2,31.2,31.2,31.2,0.1,0.32%,1.0,31.2,1,-,-,31.2,31.2,,一般,,
2019/01/29,PGF,201909  ,-,-,-,-,-,-,0.0,31.25,0,-,-,-,-,,一般,,
2019/01/29,PGF,201912  ,-,-,-,-,-,-,0.0,31.3,0,-,-,-,-,,一般,,
2019/01/30,PGF,201902  ,31.15,31.15,31.1,31.1,0.05,0.16%,5.0,31.1,6,31.05,-,31.15,30.9,,一般,,
2019/01/30,PGF,201903  ,31.1,-,-,31.1,0,0.00%,2.0,31.15,4,31,-,-,-,,一般,,
2019/01/30,PGF,201906  ,31.3,31.3,31.3,31.3,0.1,0.32%,1.0,31.3,2,-,-,31.3,31.2,,一般,,
2019/01/30,PGF,201909  ,-,-,-,-,-,-,0.0,31.3,0,-,-,-,-,,一般,,
2019/01/30,PGF,201912  ,-,-,-,-,-,-,0.0,31.35,0,-,-,-,-,,一般,,
2019/01/29,PGF,201902/201903     ,-0.01,-0.01,-0.01,-0.01,-,-,2.0,-,-,-0.04,-0.01,-0.01,-0.01,,一般,0.0,
2019/01/30,PGF,201902/201903     ,-0.01,-0.01,-0.01,-0.01,-,-,2.0,-,-,-0.01,0.01,-0.01,-0.01,,一般,0.0,
2019/02/11,PGF,201902  ,31.1,31.1,31,31,-0.1,-0.32%,3.0,31,7,-,31.15,31.15,30.9,,一般,,
2019/02/11,PGF,201903  ,-,-,-,-,-,-,0.0,31.05,4,-,31.1,-,-,,一般,,
2019/02/11,PGF,201906  ,-,-,-,-,-,-,0.0,31.2,2,-,-,31.3,31.2,,一般,,
2019/02/11,PGF,201909  ,-,-,-,-,-,-,0.0,31.2,0,-,-,-,-,,一般,,
2019/02/11,PGF,201912  ,-,-,-,-,-,-,0.0,31.25,0,-,-,-,-,,一般,,
2019/02/12,PGF,201902  ,30.75,30.8,30.55,30.55,-0.45,-1.45%,44.0,30.55,44,-,30.75,31.15,30.55,,一般,,
2019/02/12,PGF,201903  ,30.75,30.75,30.7,30.7,-0.35,-1.13%,7.0,30.7,2,-,30.7,30.75,30.7,,一般,,
2019/02/12,PGF,201906  ,-,-,-,-,-,-,0.0,30.75,2,-,-,31.3,31.2,,一般,,
2019/02/12,PGF,201909  ,-,-,-,-,-,-,0.0,30.75,0,-,-,-,-,,一般,,
2019/02/12,PGF,201912  ,-,-,-,-,-,-,0.0,30.8,0,-,-,-,-,,一般,,
2019/02/13,PGF,201902  ,30.7,30.75,30.65,30.75,0.2,0.65%,10.0,30.75,41,-,30.95,31.15,30.55,,一般,,
2019/02/13,PGF,201903  ,30.6,30.6,30.5,30.5,-0.2,-0.65%,32.0,30.5,33,-,30.75,30.75,30.5,,一般,,
2019/02/13,PGF,201906  ,30.9,30.9,30.85,30.85,0.1,0.33%,11.0,30.85,13,-,-,31.3,30.85,,一般,,
2019/02/13,PGF,201909  ,-,-,-,-,-,-,0.0,30.95,0,30.75,-,-,-,,一般,,
2019/02/13,PGF,201912  ,-,-,-,-,-,-,0.0,31,0,-,-,-,-,,一般,,
2019/02/14,PGF,201902  ,31,31.15,30.95,31.15,0.4,1.30%,23.0,31.15,39,30.9,33.8,31.15,30.55,,一般,,
2019/02/14,PGF,201903  ,31,31.1,31,31.1,0.6,1.97%,11.0,31.1,34,30.95,33.55,31.1,30.5,,一般,,
2019/02/14,PGF,201906  ,30.9,30.95,30.9,30.9,0.05,0.16%,11.0,30.9,24,30.7,-,31.3,30.85,,一般,,
2019/02/14,PGF,201909  ,-,-,-,-,-,-,0.0,31.35,0,-,-,-,-,,一般,,
2019/02/14,PGF,201912  ,-,-,-,-,-,-,0.0,31.4,0,-,-,-,-,,一般,,
2019/02/15,PGF,201902  ,30.95,30.95,30.95,30.95,-0.2,-0.64%,1.0,30.95,39,30.9,31.95,31.15,30.55,,一般,,
2019/02/15,PGF,201903  ,31,31,30.95,30.95,-0.15,-0.48%,2.0,30.95,35,30.85,31.9,31.1,30.5,,一般,,
2019/02/15,PGF,201906  ,-,-,-,-,-,-,0.0,30.7,24,-,-,31.3,30.85,,一般,,
2019/02/15,PGF,201909  ,-,-,-,-,-,-,0.0,31.15,0,-,-,-,-,,一般,,
2019/02/15,PGF,201912  ,-,-,-,-,-,-,0.0,31.2,0,-,-,-,-,,一般,,
2019/02/18,PGF,201902  ,-,-,-,-,-,-,0.0,30.9,39,31,34,31.15,30.55,,一般,,
2019/02/18,PGF,201903  ,-,-,-,-,-,-,0.0,30.9,35,30.75,33.95,31.1,30.5,,一般,,
2019/02/18,PGF,201906  ,-,-,-,-,-,-,0.0,30.65,24,-,-,31.3,30.85,,一般,,
2019/02/18,PGF,201909  ,-,-,-,-,-,-,0.0,31.1,0,-,-,-,-,,一般,,
2019/02/18,PGF,201912  ,-,-,-,-,-,-,0.0,31.15,0,-,-,-,-,,一般,,
2019/02/19,PGF,201902  ,-,-,-,-,-,-,0.0,30.8,39,27.85,31.35,31.15,30.55,,一般,,
2019/02/19,PGF,201903  ,30.9,30.9,30.9,30.9,0,0.00%,1.0,30.9,34,27.85,31.1,31.1,30.5,,一般,,
2019/02/19,PGF,201906  ,-,-,-,-,-,-,0.0,30.55,24,-,-,31.3,30.85,,一般,,
2019/02/19,PGF,201909  ,-,-,-,-,-,-,0.0,31,0,-,-,-,-,,一般,,
2019/02/19,PGF,201912  ,-,-,-,-,-,-,0.0,31.05,0,-,-,-,-,,一般,,
2019/02/20,PGF,201902  ,-,-,-,-,-,-,0.0,0,39,28.2,33.75,31.15,30.55,,一般,,
2019/02/20,PGF,201903  ,31.05,31.05,31.05,31.05,0.15,0.49%,2.0,31.05,36,30.9,31.1,31.1,30.5,,一般,,
2019/02/20,PGF,201906  ,-,-,-,-,-,-,0.0,30.75,24,30.4,31.2,31.3,30.85,,一般,,
2019/02/20,PGF,201909  ,-,-,-,-,-,-,0.0,31.2,0,-,-,-,-,,一般,,
2019/02/20,PGF,201912  ,-,-,-,-,-,-,0.0,31.25,0,-,-,-,-,,一般,,
2019/02/21,PGF,201903  ,31,31,31,31,-0.05,-0.16%,2.0,31,36,30.85,31,31.1,30.5,,一般,,
2019/02/21,PGF,201904  ,-,-,-,-,-,-,0.0,31,0,27.95,31.1,-,-,,一般,,
2019/02/21,PGF,201906  ,-,-,-,-,-,-,0.0,30.7,24,-,-,31.3,30.85,,一般,,
2019/02/21,PGF,201909  ,-,-,-,-,-,-,0.0,31.15,0,-,-,-,-,,一般,,
2019/02/21,PGF,201912  ,-,-,-,-,-,-,0.0,31.2,0,-,-,-,-,,一般,,
2019/02/22,PGF,201903  ,30.8,30.8,30.8,30.8,-0.2,-0.65%,11.0,30.8,44,30.8,30.85,31.1,30.5,,一般,,
2019/02/22,PGF,201904  ,-,-,-,-,-,-,0.0,30.8,0,30.7,30.9,-,-,,一般,,
2019/02/22,PGF,201906  ,-,-,-,-,-,-,0.0,30.5,24,-,-,31.3,30.85,,一般,,
2019/02/22,PGF,201909  ,-,-,-,-,-,-,0.0,30.95,0,-,-,-,-,,一般,,
2019/02/22,PGF,201912  ,-,-,-,-,-,-,0.0,31,0,-,-,-,-,,一般,,
2019/02/25,PGF,201903  ,30.85,30.85,30.85,30.85,0.05,0.16%,2.0,30.85,44,31,31.15,31.1,30.5,,一般,,
2019/02/25,PGF,201904  ,-,-,-,-,-,-,0.0,30.85,0,30.9,31.2,-,-,,一般,,
2019/02/25,PGF,201906  ,-,-,-,-,-,-,0.0,30.55,24,-,-,31.3,30.85,,一般,,
2019/02/25,PGF,201909  ,-,-,-,-,-,-,0.0,31,0,-,-,-,-,,一般,,
2019/02/25,PGF,201912  ,-,-,-,-,-,-,0.0,31.05,0,-,-,-,-,,一般,,
2019/02/26,PGF,201903  ,31.75,32.6,31.7,32.3,1.45,4.70%,464.0,32.3,59,32.2,32.4,32.6,30.5,,一般,,
2019/02/26,PGF,201904  ,31.85,32.6,31.6,32.4,1.55,5.02%,376.0,32.4,28,32.1,32.35,32.6,31.6,,一般,,
2019/02/26,PGF,201906  ,-,-,-,-,-,-,0.0,32,24,-,-,31.3,30.85,,一般,,
2019/02/26,PGF,201909  ,-,-,-,-,-,-,0.0,32.45,0,-,-,-,-,,一般,,
2019/02/26,PGF,201912  ,-,-,-,-,-,-,0.0,32.5,0,-,-,-,-,,一般,,
2019/02/27,PGF,201903  ,32.4,33.35,32.4,33.35,1.05,3.25%,65.0,33.35,81,33.05,33.45,33.35,30.5,,一般,,
2019/02/27,PGF,201904  ,32.65,33,32.45,32.75,0.35,1.08%,32.0,33.2,42,32.9,33.45,33,31.6,,一般,,
2019/02/27,PGF,201906  ,32.85,32.9,32.85,32.9,0.9,2.81%,19.0,33.05,43,-,-,32.9,30.85,,一般,,
2019/02/27,PGF,201909  ,-,-,-,-,-,-,0.0,33.5,0,-,-,-,-,,一般,,
2019/02/27,PGF,201912  ,-,-,-,-,-,-,0.0,33.55,0,-,-,-,-,,一般,,
2019/02/12,PGF,201902/201903     ,-0.01,-0.01,-0.01,-0.01,-,-,1.0,-,-,-0.01,0.01,-0.01,-0.01,,一般,5.0,
2019/02/13,PGF,201902/201903     ,-0.01,-0.01,-0.01,-0.01,-,-,2.0,-,-,-,0,-0.01,-0.01,,一般,1.0,
2019/02/14,PGF,201902/201903     ,-0.01,-0.01,-0.01,-0.01,-,-,2.0,-,-,-0.21,0.01,-0.01,-0.01,,一般,6.0,
2019/02/15,PGF,201902/201903     ,-,-,-,-,-,-,,-,-,-,-,-,-,,一般,1.0,
2019/02/26,PGF,201903/201904     ,-0.06,-0.06,-0.09,-0.07,-,-,317.0,-,-,-0.07,-0.06,-0.06,-0.09,,一般,34.0,
2019/02/27,PGF,201903/201904     ,-,-,-,-,-,-,,-,-,-,-,-,-,,一般,11.0,
2019/03/04,PGF,201903  ,33.6,33.6,33.1,33.15,-0.2,-0.60%,25.0,33.15,83,33.15,33.35,33.6,30.5,,一般,,
2019/03/04,PGF,201904  ,33.1,33.25,33.1,33.1,-0.1,-0.30%,4.0,33.2,45,33,33.35,33.25,31.6,,一般,,
2019/03/04,PGF,201906  ,-,-,-,-,-,-,0.0,33.15,43,33.15,-,32.9,30.85,,一般,,
2019/03/04,PGF,201909  ,-,-,-,-,-,-,0.0,33.3,0,-,-,-,-,,一般,,
2019/03/04,PGF,201912  ,-,-,-,-,-,-,0.0,33.35,0,-,-,-,-,,一般,,
2019/03/05,PGF,201903  ,33.3,34.65,33.3,34.55,1.4,4.22%,131.0,34.55,134,34.45,34.6,34.65,30.5,,一般,,
2019/03/05,PGF,201904  ,33.1,34.5,33.1,34.35,1.15,3.46%,75.0,34.35,54,34.35,34.5,34.5,31.6,,一般,,
2019/03/05,PGF,201906  ,33.5,34,33.5,34,0.85,2.56%,2.0,34,44,33.2,34.4,34,30.85,,一般,,
2019/03/05,PGF,201909  ,-,-,-,-,-,-,0.0,34.7,0,-,-,-,-,,一般,,
2019/03/05,PGF,201912  ,-,-,-,-,-,-,0.0,34.75,0,-,-,-,-,,一般,,
2019/03/06,PGF,201903  ,34.55,35.1,34.4,35.05,0.5,1.45%,156.0,35.05,187,35,35.8,35.1,30.5,,一般,,
2019/03/06,PGF,201904  ,34.45,35.1,34.45,35.05,0.7,2.04%,28.0,35.05,59,34.85,35.75,35.1,31.6,,一般,,
2019/03/06,PGF,201906  ,-,-,-,-,-,-,0.0,34.5,44,-,-,34,30.85,,一般,,
2019/03/06,PGF,201909  ,-,-,-,-,-,-,0.0,35.2,0,-,-,-,-,,一般,,
2019/03/06,PGF,201912  ,-,-,-,-,-,-,0.0,35.25,0,-,-,-,-,,一般,,
2019/03/07,PGF,201903  ,35,35,34.1,34.65,-0.4,-1.14%,121.0,34.65,176,34.6,34.7,35.1,30.5,,一般,,
2019/03/07,PGF,201904  ,35,35,34.4,34.65,-0.4,-1.14%,18.0,34.65,64,34.5,34.65,35.1,31.6,,一般,,
2019/03/07,PGF,201906  ,-,-,-,-,-,-,0.0,34.1,44,-,-,34,30.85,,一般,,
2019/03/07,PGF,201909  ,-,-,-,-,-,-,0.0,34.8,0,-,-,-,-,,一般,,
2019/03/07,PGF,201912  ,-,-,-,-,-,-,0.0,34.85,0,-,-,-,-,,一般,,
2019/03/08,PGF,201903  ,34.25,34.5,33.9,34.35,-0.3,-0.87%,99.0,34.35,195,34.35,34.5,35.1,30.5,,一般,,
2019/03/08,PGF,201904  ,34.45,34.45,34.15,34.3,-0.35,-1.01%,12.0,34.3,63,34.25,34.45,35.1,31.6,,一般,,
2019/03/08,PGF,201906  ,-,-,-,-,-,-,0.0,33.8,44,-,34.1,34,30.85,,一般,,
2019/03/08,PGF,201909  ,-,-,-,-,-,-,0.0,34.5,0,-,-,-,-,,一般,,
2019/03/08,PGF,201912  ,-,-,-,-,-,-,0.0,34.55,0,-,-,-,-,,一般,,
2019/03/11,PGF,201903  ,34.45,34.85,34.25,34.4,0.05,0.15%,46.0,34.4,197,34.35,34.5,35.1,30.5,,一般,,
2019/03/11,PGF,201904  ,34.8,34.8,34.35,34.35,0.05,0.15%,14.0,34.35,69,34.35,34.5,35.1,31.6,,一般,,
2019/03/11,PGF,201906  ,-,-,-,-,-,-,0.0,33.85,44,-,34.85,34,30.85,,一般,,
2019/03/11,PGF,201909  ,-,-,-,-,-,-,0.0,34.55,0,-,-,-,-,,一般,,
2019/03/11,PGF,201912  ,-,-,-,-,-,-,0.0,34.6,0,-,-,-,-,,一般,,
2019/03/12,PGF,201903  ,34.85,34.85,34.35,34.55,0.15,0.44%,37.0,34.55,205,34.6,34.75,35.1,30.5,,一般,,
2019/03/12,PGF,201904  ,34.6,34.75,34.55,34.55,0.2,0.58%,15.0,34.55,71,34.55,34.7,35.1,31.6,,一般,,
2019/03/12,PGF,201906  ,-,-,-,-,-,-,0.0,34,44,-,34.8,34,30.85,,一般,,
2019/03/12,PGF,201909  ,-,-,-,-,-,-,0.0,34.7,0,-,-,-,-,,一般,,
