交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2019/08/05,PM1,201908  ,356,360.5,337,337,-17.5,-4.94%,278.0,337,161,336,338,446,337,,一般,,
2019/08/05,PM1,201909  ,358.5,358.5,348.5,348.5,-5.5,-1.55%,3.0,336.5,24,334,337.5,440,348.5,,一般,,
2019/08/06,PM1,201908  ,334,340.5,327.5,331,-6,-1.78%,84.0,331,97,330.5,332,446,327.5,,一般,,
2019/08/06,PM1,201909  ,331,335,331,331.5,-5,-1.49%,3.0,331.5,26,329,331.5,440,331,,一般,,
2019/08/07,PM1,201908  ,328,328,327,327,-4,-1.21%,5.0,321,94,312,340,446,327,,一般,,
2019/08/07,PM1,201909  ,-,-,-,-,-,-,0.0,320,26,310.5,339.5,440,331,,一般,,
2019/08/08,PM1,201908  ,324,327.5,324,326,5,1.56%,18.0,327,93,326,353,446,324,,一般,,
2019/08/08,PM1,201909  ,322.5,322.5,322.5,322.5,2.5,0.78%,14.0,325.5,37,324.5,-,440,322.5,,一般,,
2019/08/12,PM1,201908  ,330.5,338.5,330.5,334.5,7.5,2.29%,13.0,334.5,83,332,337.5,446,324,,一般,,
2019/08/12,PM1,201909  ,-,-,-,-,-,-,0.0,337,37,331,337,440,322.5,,一般,,
2019/08/13,PM1,201908  ,331,334.5,331,331.5,-3,-0.90%,4.0,332,85,331,334.5,446,324,,一般,,
2019/08/13,PM1,201909  ,-,-,-,-,-,-,0.0,333.5,37,330,334.5,440,322.5,,一般,,
2019/08/14,PM1,201908  ,336.5,336.5,325.5,325.5,-6.5,-1.96%,5.0,324.5,84,325,330,446,324,,一般,,
2019/08/14,PM1,201909  ,-,-,-,-,-,-,0.0,323,37,323.5,330,440,322.5,,一般,,
2019/08/15,PM1,201908  ,327,327,327,327,2.5,0.77%,1.0,327,83,322,330,446,324,,一般,,
2019/08/15,PM1,201909  ,322,324.5,322,324.5,1.5,0.46%,2.0,329.5,37,321,330,440,322,,一般,,
2019/08/16,PM1,201908  ,332,332.5,328,328,1,0.31%,18.0,328,81,326,330,446,324,,一般,,
2019/08/16,PM1,201909  ,328,328,328,328,-1.5,-0.46%,1.0,328,36,325,330,440,322,,一般,,
2019/08/19,PM1,201908  ,328.5,331.5,328.5,331,3,0.91%,8.0,331,80,330,332,446,324,,一般,,
2019/08/19,PM1,201909  ,329,329,329,329,1,0.30%,1.0,330,37,329,331,440,322,,一般,,
2019/08/20,PM1,201908  ,330.5,331,330.5,331,0,0.00%,4.0,331,76,326.5,-,446,324,,一般,,
2019/08/20,PM1,201909  ,330,-,-,330,0,0.00%,2.0,330,37,325.5,-,440,322,,一般,,
2019/08/21,PM1,201908  ,318,318.5,317,318.5,-12.5,-3.78%,32.0,0,56,318,319,446,317,,一般,,
2019/08/21,PM1,201909  ,318,318,318,318,-12,-3.64%,19.0,320.5,56,318,363,440,318,,一般,,
2019/08/22,PM1,201909  ,316,316,308.5,308.5,-12,-3.74%,13.0,309,59,306,313.5,440,308.5,,一般,,
2019/08/23,PM1,201909  ,309,309,304,308.5,-0.5,-0.16%,12.0,306,59,304,308.5,440,304,,一般,,
2019/08/26,PM1,201909  ,305.5,305.5,289,291.5,-14.5,-4.74%,12.0,290,55,290.5,-,440,289,,一般,,
2019/08/27,PM1,201909  ,290,290,286,290,0,0.00%,7.0,302,55,300,302,440,286,,一般,,
2019/08/28,PM1,201909  ,302,306,301,301,-1,-0.33%,12.0,303,54,302,303,440,286,,一般,,
2019/08/29,PM1,201909  ,304,307,304,307,4,1.32%,6.0,309,57,309,310,440,286,,一般,,
2019/08/30,PM1,201909  ,317,317,313,314,5,1.62%,11.0,307.5,47,307,308,440,286,,一般,,
2019/08/05,PM1,201908/201909     ,-,-,-,-,-,-,,-,-,-,-,-,-,,一般,3.0,
2019/08/06,PM1,201908/201909     ,-,-,-,-,-,-,,-,-,-,-,-,-,,一般,1.0,
2019/08/08,PM1,201908/201909     ,-0.51,-0.51,-0.7,-0.7,-,-,13.0,-,-,-1.49,-0.7,-0.51,-1.21,,一般,0.0,
2019/08/16,PM1,201908/201909     ,-,-,-,-,-,-,,-,-,-,-,-,-,,一般,1.0,
2019/08/19,PM1,201908/201909     ,-,-,-,-,-,-,,-,-,-,-,-,-,,一般,1.0,
2019/08/20,PM1,201908/201909     ,-0.97,-0.97,-0.97,-0.97,-,-,2.0,-,-,-0.51,-0.32,-0.51,-1.21,,一般,0.0,
2019/08/21,PM1,201908/201909     ,-,-,-,-,-,-,,-,-,-,-,-,-,,一般,19.0,
2019/09/02,PM1,201909  ,-,-,-,-,-,-,0.0,311.5,47,310.5,312,440,286,,一般,,
