交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2019/04/25,PMF,201905  ,-,-,-,-,-,-,0.0,476,0,-,-,-,-,,一般,,
2019/04/25,PMF,201906  ,-,-,-,-,-,-,0.0,476.5,0,-,-,-,-,,一般,,
2019/04/25,PMF,201909  ,-,-,-,-,-,-,0.0,477.5,0,-,-,-,-,,一般,,
2019/04/25,PMF,201912  ,-,-,-,-,-,-,0.0,479,0,-,-,-,-,,一般,,
2019/04/25,PMF,202003  ,-,-,-,-,-,-,0.0,480,0,-,-,-,-,,一般,,
2019/04/26,PMF,201905  ,488,491,484,489.5,13.5,2.84%,7.0,489.5,2,-,-,491,484,,一般,,
2019/04/26,PMF,201906  ,-,-,-,-,-,-,0.0,490,0,-,-,-,-,,一般,,
2019/04/26,PMF,201909  ,-,-,-,-,-,-,0.0,491,0,-,-,-,-,,一般,,
2019/04/26,PMF,201912  ,-,-,-,-,-,-,0.0,492.5,0,-,-,-,-,,一般,,
2019/04/26,PMF,202003  ,-,-,-,-,-,-,0.0,493.5,0,-,-,-,-,,一般,,
2019/04/29,PMF,201905  ,-,-,-,-,-,-,0.0,476.5,2,-,491,491,484,,一般,,
2019/04/29,PMF,201906  ,-,-,-,-,-,-,0.0,477,0,-,491.5,-,-,,一般,,
2019/04/29,PMF,201909  ,-,-,-,-,-,-,0.0,478,0,-,-,-,-,,一般,,
2019/04/29,PMF,201912  ,-,-,-,-,-,-,0.0,479.5,0,-,-,-,-,,一般,,
2019/04/29,PMF,202003  ,-,-,-,-,-,-,0.0,480.5,0,-,-,-,-,,一般,,
2019/04/30,PMF,201905  ,474.5,475.5,455,455,-21.5,-4.51%,7.0,461.5,3,456,-,491,455,,一般,,
2019/04/30,PMF,201906  ,-,-,-,-,-,-,0.0,462,0,456.5,-,-,-,,一般,,
2019/04/30,PMF,201909  ,-,-,-,-,-,-,0.0,463,0,-,-,-,-,,一般,,
2019/04/30,PMF,201912  ,-,-,-,-,-,-,0.0,464.5,0,-,-,-,-,,一般,,
2019/04/30,PMF,202003  ,-,-,-,-,-,-,0.0,465.5,0,-,-,-,-,,一般,,
2019/05/02,PMF,201905  ,460.5,467.5,460.5,466.5,5,1.08%,13.0,466.5,13,459.5,499,491,455,,一般,,
2019/05/02,PMF,201906  ,465,472.5,465,472.5,10.5,2.27%,26.0,472.5,24,459,501,472.5,465,,一般,,
2019/05/02,PMF,201909  ,-,-,-,-,-,-,0.0,468,0,-,-,-,-,,一般,,
2019/05/02,PMF,201912  ,-,-,-,-,-,-,0.0,469.5,0,-,-,-,-,,一般,,
2019/05/02,PMF,202003  ,-,-,-,-,-,-,0.0,470.5,0,-,-,-,-,,一般,,
2019/05/03,PMF,201905  ,472.5,483,472.5,482,15.5,3.32%,30.0,482,21,454.5,483,491,455,,一般,,
2019/05/03,PMF,201906  ,475,483.5,475,482.5,10,2.12%,29.0,482.5,40,453.5,483.5,483.5,465,,一般,,
2019/05/03,PMF,201909  ,-,-,-,-,-,-,0.0,483.5,0,-,-,-,-,,一般,,
2019/05/03,PMF,201912  ,-,-,-,-,-,-,0.0,485,0,-,-,-,-,,一般,,
2019/05/03,PMF,202003  ,-,-,-,-,-,-,0.0,486,0,-,-,-,-,,一般,,
2019/05/06,PMF,201905  ,489,489,477.5,482,0,0.00%,26.0,482,7,451.5,482.5,491,455,,一般,,
2019/05/06,PMF,201906  ,480,483,480,480.5,-2,-0.41%,10.0,480.5,37,450,483,483.5,465,,一般,,
2019/05/06,PMF,201909  ,-,-,-,-,-,-,0.0,483.5,0,-,-,-,-,,一般,,
2019/05/06,PMF,201912  ,-,-,-,-,-,-,0.0,485,0,-,-,-,-,,一般,,
2019/05/06,PMF,202003  ,-,-,-,-,-,-,0.0,486,0,-,-,-,-,,一般,,
2019/05/07,PMF,201905  ,485,486,484,484,2,0.41%,3.0,484,5,479,-,491,455,,一般,,
2019/05/07,PMF,201906  ,482,483.5,479.5,483.5,3,0.62%,7.0,483.5,34,480,-,483.5,465,,一般,,
2019/05/07,PMF,201909  ,-,-,-,-,-,-,0.0,485.5,0,-,-,-,-,,一般,,
2019/05/07,PMF,201912  ,-,-,-,-,-,-,0.0,487,0,-,-,-,-,,一般,,
2019/05/07,PMF,202003  ,-,-,-,-,-,-,0.0,488,0,-,-,-,-,,一般,,
2019/05/08,PMF,201905  ,481,496.5,481,491,7,1.45%,19.0,491,12,480.5,520,496.5,455,,一般,,
2019/05/08,PMF,201906  ,478,494,478,494,10.5,2.17%,34.0,494,15,479,520,494,465,,一般,,
2019/05/08,PMF,201909  ,-,-,-,-,-,-,0.0,492.5,0,-,-,-,-,,一般,,
2019/05/08,PMF,201912  ,-,-,-,-,-,-,0.0,494,0,-,-,-,-,,一般,,
2019/05/08,PMF,202003  ,-,-,-,-,-,-,0.0,495,0,-,-,-,-,,一般,,
2019/05/09,PMF,201905  ,492,497.5,487,487,-4,-0.81%,10.0,489.5,9,488.5,490.5,497.5,455,,一般,,
2019/05/09,PMF,201906  ,490.5,490.5,487,487,-7,-1.42%,2.0,489,15,488,490,494,465,,一般,,
2019/05/09,PMF,201909  ,-,-,-,-,-,-,0.0,491,0,-,-,-,-,,一般,,
2019/05/09,PMF,201912  ,-,-,-,-,-,-,0.0,492.5,0,-,-,-,-,,一般,,
2019/05/09,PMF,202003  ,-,-,-,-,-,-,0.0,493.5,0,-,-,-,-,,一般,,
2019/05/10,PMF,201905  ,492.5,498,487.5,495,5.5,1.12%,10.0,495,7,489,496,498,455,,一般,,
2019/05/10,PMF,201906  ,489.5,496,488,488.5,-0.5,-0.10%,12.0,488.5,17,488.5,495.5,496,465,,一般,,
2019/05/10,PMF,201909  ,-,-,-,-,-,-,0.0,496.5,0,-,-,-,-,,一般,,
2019/05/10,PMF,201912  ,-,-,-,-,-,-,0.0,498,0,-,-,-,-,,一般,,
2019/05/10,PMF,202003  ,-,-,-,-,-,-,0.0,499,0,-,-,-,-,,一般,,
2019/05/13,PMF,201905  ,495,495,482,482,-13,-2.63%,4.0,482,9,-,-,498,455,,一般,,
2019/05/13,PMF,201906  ,485,485,479,484.5,-4,-0.82%,6.0,484.5,19,-,-,496,465,,一般,,
2019/05/13,PMF,201909  ,-,-,-,-,-,-,0.0,483.5,0,-,-,-,-,,一般,,
2019/05/13,PMF,201912  ,-,-,-,-,-,-,0.0,485,0,-,-,-,-,,一般,,
2019/05/13,PMF,202003  ,-,-,-,-,-,-,0.0,486,0,-,-,-,-,,一般,,
2019/05/14,PMF,201905  ,478.5,482,478.5,481,-1,-0.21%,7.0,481,5,450,529,498,455,,一般,,
2019/05/14,PMF,201906  ,477.5,480.5,477.5,480.5,-4,-0.83%,6.0,480.5,19,447,528,496,465,,一般,,
2019/05/14,PMF,201909  ,-,-,-,-,-,-,0.0,482.5,0,-,-,-,-,,一般,,
2019/05/14,PMF,201912  ,-,-,-,-,-,-,0.0,484,0,-,-,-,-,,一般,,
2019/05/14,PMF,202003  ,-,-,-,-,-,-,0.0,485,0,-,-,-,-,,一般,,
2019/05/15,PMF,201905  ,484.5,486,483,485.5,4.5,0.94%,6.0,0,3,487,487.5,498,455,,一般,,
2019/05/15,PMF,201906  ,481.5,485,481.5,482,1.5,0.31%,6.0,482,19,-,485,496,465,,一般,,
2019/05/15,PMF,201909  ,-,-,-,-,-,-,0.0,484,0,-,-,-,-,,一般,,
2019/05/15,PMF,201912  ,-,-,-,-,-,-,0.0,485.5,0,-,-,-,-,,一般,,
2019/05/15,PMF,202003  ,-,-,-,-,-,-,0.0,486.5,0,-,-,-,-,,一般,,
2019/05/16,PMF,201906  ,484,485,466,466,-16,-3.32%,6.0,466,22,460,475,496,465,,一般,,
2019/05/16,PMF,201907  ,-,-,-,-,-,-,0.0,467.5,0,458,474.5,-,-,,一般,,
2019/05/16,PMF,201909  ,-,-,-,-,-,-,0.0,468,0,-,-,-,-,,一般,,
2019/05/16,PMF,201912  ,-,-,-,-,-,-,0.0,469.5,0,-,-,-,-,,一般,,
2019/05/16,PMF,202003  ,-,-,-,-,-,-,0.0,470.5,0,-,-,-,-,,一般,,
2019/05/17,PMF,201906  ,466,466,458,458,-8,-1.72%,29.0,458,24,449,458,496,458,,一般,,
2019/05/17,PMF,201907  ,464.5,464.5,464.5,464.5,-3,-0.64%,13.0,459.5,11,446,456.5,464.5,464.5,,一般,,
2019/05/17,PMF,201909  ,-,-,-,-,-,-,0.0,460,0,-,-,-,-,,一般,,
2019/05/17,PMF,201912  ,-,-,-,-,-,-,0.0,461.5,0,-,-,-,-,,一般,,
2019/05/17,PMF,202003  ,-,-,-,-,-,-,0.0,462.5,0,-,-,-,-,,一般,,
2019/05/20,PMF,201906  ,457,486.5,457,486.5,28.5,6.22%,23.0,486.5,19,463.5,487,496,457,,一般,,
2019/05/20,PMF,201907  ,463,477.5,461.5,477,17.5,3.81%,12.0,477,10,462,485.5,477.5,461.5,,一般,,
2019/05/20,PMF,201909  ,-,-,-,-,-,-,0.0,488.5,0,-,-,-,-,,一般,,
2019/05/20,PMF,201912  ,-,-,-,-,-,-,0.0,490,0,-,-,-,-,,一般,,
2019/05/20,PMF,202003  ,-,-,-,-,-,-,0.0,491,0,-,-,-,-,,一般,,
2019/05/21,PMF,201906  ,486,497.5,486,494.5,8,1.64%,9.0,494.5,19,458,497,497.5,457,,一般,,
2019/05/21,PMF,201907  ,496,496,496,496,19,3.98%,2.0,496,10,454.5,495.5,496,461.5,,一般,,
2019/05/21,PMF,201909  ,-,-,-,-,-,-,0.0,496.5,0,-,-,-,-,,一般,,
2019/05/21,PMF,201912  ,-,-,-,-,-,-,0.0,498,0,-,-,-,-,,一般,,
2019/05/21,PMF,202003  ,-,-,-,-,-,-,0.0,499,0,-,-,-,-,,一般,,
2019/05/22,PMF,201906  ,494.5,-,-,494.5,0,0.00%,3.0,499,19,488,497,497.5,457,,一般,,
2019/05/22,PMF,201907  ,496,-,-,496,0,0.00%,3.0,501,13,484.5,495,496,461.5,,一般,,
2019/05/22,PMF,201909  ,-,-,-,-,-,-,0.0,501,0,-,-,-,-,,一般,,
2019/05/22,PMF,201912  ,-,-,-,-,-,-,0.0,503,0,-,-,-,-,,一般,,
2019/05/22,PMF,202003  ,-,-,-,-,-,-,0.0,504,0,-,-,-,-,,一般,,
2019/05/23,PMF,201906  ,492.5,492.5,483,483,-16,-3.21%,5.0,483,19,471,485,497.5,457,,一般,,
2019/05/23,PMF,201907  ,-,-,-,-,-,-,0.0,485,13,467.5,483,496,461.5,,一般,,
2019/05/23,PMF,201909  ,-,-,-,-,-,-,0.0,485,0,-,-,-,-,,一般,,
2019/05/23,PMF,201912  ,-,-,-,-,-,-,0.0,487,0,-,-,-,-,,一般,,
2019/05/23,PMF,202003  ,-,-,-,-,-,-,0.0,488,0,-,-,-,-,,一般,,
2019/05/24,PMF,201906  ,488,500,488,493.5,10.5,2.17%,7.0,493.5,19,483,497,500,457,,一般,,
2019/05/24,PMF,201907  ,496.5,496.5,496.5,496.5,11.5,2.37%,1.0,496.5,13,479.5,495,496.5,461.5,,一般,,
2019/05/24,PMF,201909  ,-,-,-,-,-,-,0.0,495.5,0,-,-,-,-,,一般,,
2019/05/24,PMF,201912  ,-,-,-,-,-,-,0.0,497.5,0,-,-,-,-,,一般,,
2019/05/24,PMF,202003  ,-,-,-,-,-,-,0.0,498.5,0,-,-,-,-,,一般,,
2019/05/27,PMF,201906  ,500,509,500,509,15.5,3.14%,2.0,509,19,506,512,509,457,,一般,,
2019/05/27,PMF,201907  ,-,-,-,-,-,-,0.0,512,13,502,510,496.5,461.5,,一般,,
2019/05/27,PMF,201909  ,-,-,-,-,-,-,0.0,511,0,-,-,-,-,,一般,,
2019/05/27,PMF,201912  ,-,-,-,-,-,-,0.0,513,0,-,-,-,-,,一般,,
2019/05/27,PMF,202003  ,-,-,-,-,-,-,0.0,514,0,-,-,-,-,,一般,,
2019/05/28,PMF,201906  ,513,517,511,511,2,0.39%,7.0,511,21,506,517,517,457,,一般,,
2019/05/28,PMF,201907  ,-,-,-,-,-,-,0.0,514,13,502,515,496.5,461.5,,一般,,
2019/05/28,PMF,201909  ,-,-,-,-,-,-,0.0,513,0,-,-,-,-,,一般,,
2019/05/28,PMF,201912  ,-,-,-,-,-,-,0.0,515,0,-,-,-,-,,一般,,
2019/05/28,PMF,202003  ,-,-,-,-,-,-,0.0,516,0,-,-,-,-,,一般,,
