交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2020/08/03,PTF,202008  ,230,231.5,228,228,-0.5,-0.22%,9.0,228,7,228,234.5,231.5,228,,一般,,
2020/08/03,PTF,202009  ,-,-,-,-,-,-,0.0,228.5,0,227,234.5,-,-,,一般,,
2020/08/03,PTF,202012  ,-,-,-,-,-,-,0.0,229,0,212,247.5,-,-,,一般,,
2020/08/03,PTF,202103  ,-,-,-,-,-,-,0.0,229,0,210,247.5,-,-,,一般,,
2020/08/03,PTF,202106  ,-,-,-,-,-,-,0.0,229.5,0,210,248.5,-,-,,一般,,
2020/08/04,PTF,202008  ,227.5,227.5,224,224.5,-3.5,-1.54%,5.0,224.5,12,224,231.5,231.5,224,,一般,,
2020/08/04,PTF,202009  ,-,-,-,-,-,-,0.0,225,0,223.5,231.5,-,-,,一般,,
2020/08/04,PTF,202012  ,-,-,-,-,-,-,0.0,225.5,0,211,250.5,-,-,,一般,,
2020/08/04,PTF,202103  ,-,-,-,-,-,-,0.0,225.5,0,211,248.5,-,-,,一般,,
2020/08/04,PTF,202106  ,-,-,-,-,-,-,0.0,226,0,209,249.5,-,-,,一般,,
2020/08/05,PTF,202008  ,225,232.5,225,232.5,8,3.56%,16.0,232.5,17,233,235,232.5,224,,一般,,
2020/08/05,PTF,202009  ,-,-,-,-,-,-,0.0,233,0,232.5,235,-,-,,一般,,
2020/08/05,PTF,202012  ,226.5,226.5,226.5,226.5,1,0.44%,1.0,233.5,1,217,-,226.5,226.5,,一般,,
2020/08/05,PTF,202103  ,-,-,-,-,-,-,0.0,233.5,0,217,-,-,-,,一般,,
2020/08/05,PTF,202106  ,-,-,-,-,-,-,0.0,234,0,217,-,-,-,,一般,,
2020/08/06,PTF,202008  ,233.5,241.5,233.5,238.5,6,2.58%,35.0,238.5,41,238,240.5,241.5,224,,一般,,
2020/08/06,PTF,202009  ,-,-,-,-,-,-,0.0,239,0,237,240.5,-,-,,一般,,
2020/08/06,PTF,202012  ,-,-,-,-,-,-,0.0,239.5,1,221,256.5,226.5,226.5,,一般,,
2020/08/06,PTF,202103  ,-,-,-,-,-,-,0.0,239.5,0,221,256.5,-,-,,一般,,
2020/08/06,PTF,202106  ,-,-,-,-,-,-,0.0,240,0,221,256.5,-,-,,一般,,
2020/08/07,PTF,202008  ,239,241,231.5,232,-6.5,-2.73%,28.0,232,39,232,235,241.5,224,,一般,,
2020/08/07,PTF,202009  ,236,236,233,233,-6,-2.51%,3.0,233,1,232,234,236,233,,一般,,
2020/08/07,PTF,202012  ,-,-,-,-,-,-,0.0,233,1,-,-,226.5,226.5,,一般,,
2020/08/07,PTF,202103  ,-,-,-,-,-,-,0.0,233,0,-,-,-,-,,一般,,
2020/08/07,PTF,202106  ,-,-,-,-,-,-,0.0,233.5,0,-,-,-,-,,一般,,
2020/08/10,PTF,202008  ,232,232.5,226,231,-1,-0.43%,30.0,231,26,231.5,232,241.5,224,,一般,,
2020/08/10,PTF,202009  ,230,230.5,225.5,230.5,-2.5,-1.07%,13.0,230.5,3,230.5,231.5,236,225.5,,一般,,
2020/08/10,PTF,202012  ,-,-,-,-,-,-,0.0,232,1,218.5,251,226.5,226.5,,一般,,
2020/08/10,PTF,202103  ,-,-,-,-,-,-,0.0,232,0,218.5,249,-,-,,一般,,
2020/08/10,PTF,202106  ,-,-,-,-,-,-,0.0,232.5,0,216.5,249,-,-,,一般,,
2020/08/11,PTF,202008  ,231,235.5,224.5,226,-5,-2.16%,15.0,226,20,224,227.5,241.5,224,,一般,,
2020/08/11,PTF,202009  ,230.5,235.5,224,224.5,-6,-2.60%,14.0,224.5,8,223,227,236,224,,一般,,
2020/08/11,PTF,202012  ,233,233,233,233,1,0.43%,1.0,227,2,-,241.5,233,226.5,,一般,,
2020/08/11,PTF,202103  ,-,-,-,-,-,-,0.0,227,0,-,241.5,-,-,,一般,,
2020/08/11,PTF,202106  ,-,-,-,-,-,-,0.0,227.5,0,-,242.5,-,-,,一般,,
2020/08/12,PTF,202008  ,224,225,223,225,-1,-0.44%,21.0,225,13,225,-,241.5,223,,一般,,
2020/08/12,PTF,202009  ,222.5,223,222.5,223,-1.5,-0.67%,15.0,223,12,224,-,236,222.5,,一般,,
2020/08/12,PTF,202012  ,-,-,-,-,-,-,0.0,226,2,211,243,233,226.5,,一般,,
2020/08/12,PTF,202103  ,-,-,-,-,-,-,0.0,226,0,211,-,-,-,,一般,,
