交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2020/11/02,PVF,202011  ,-,-,-,-,-,-,0.0,707,0,688,-,-,-,,一般,,
2020/11/02,PVF,202012  ,-,-,-,-,-,-,0.0,708,0,682,-,-,-,,一般,,
2020/11/02,PVF,202103  ,-,-,-,-,-,-,0.0,709,0,-,-,-,-,,一般,,
2020/11/02,PVF,202106  ,-,-,-,-,-,-,0.0,711,0,-,-,-,-,,一般,,
2020/11/02,PVF,202109  ,-,-,-,-,-,-,0.0,711,0,-,-,-,-,,一般,,
2020/11/03,PVF,202011  ,-,-,-,-,-,-,0.0,719,0,680,-,-,-,,一般,,
2020/11/03,PVF,202012  ,-,-,-,-,-,-,0.0,717,0,674,-,-,-,,一般,,
2020/11/03,PVF,202103  ,-,-,-,-,-,-,0.0,721,0,650,-,-,-,,一般,,
2020/11/03,PVF,202106  ,-,-,-,-,-,-,0.0,723,0,650,-,-,-,,一般,,
2020/11/03,PVF,202109  ,-,-,-,-,-,-,0.0,723,0,-,-,-,-,,一般,,
2020/11/04,PVF,202011  ,-,-,-,-,-,-,0.0,721,0,720,770,-,-,,一般,,
2020/11/04,PVF,202012  ,-,-,-,-,-,-,0.0,719,0,714,770,-,-,,一般,,
2020/11/04,PVF,202103  ,-,-,-,-,-,-,0.0,723,0,695,-,-,-,,一般,,
2020/11/04,PVF,202106  ,-,-,-,-,-,-,0.0,725,0,-,-,-,-,,一般,,
2020/11/04,PVF,202109  ,-,-,-,-,-,-,0.0,725,0,-,-,-,-,,一般,,
2020/11/05,PVF,202011  ,-,-,-,-,-,-,0.0,745,0,-,749,-,-,,一般,,
2020/11/05,PVF,202012  ,-,-,-,-,-,-,0.0,743,0,-,749,-,-,,一般,,
2020/11/05,PVF,202103  ,-,-,-,-,-,-,0.0,747,0,-,789,-,-,,一般,,
2020/11/05,PVF,202106  ,-,-,-,-,-,-,0.0,749,0,-,789,-,-,,一般,,
2020/11/05,PVF,202109  ,-,-,-,-,-,-,0.0,749,0,-,789,-,-,,一般,,
2020/11/06,PVF,202011  ,-,-,-,-,-,-,0.0,741,0,-,-,-,-,,一般,,
2020/11/06,PVF,202012  ,-,-,-,-,-,-,0.0,742,0,-,-,-,-,,一般,,
2020/11/06,PVF,202103  ,-,-,-,-,-,-,0.0,743,0,-,-,-,-,,一般,,
2020/11/06,PVF,202106  ,-,-,-,-,-,-,0.0,745,0,-,-,-,-,,一般,,
2020/11/06,PVF,202109  ,-,-,-,-,-,-,0.0,745,0,-,-,-,-,,一般,,
2020/11/09,PVF,202011  ,-,-,-,-,-,-,0.0,780,0,765,-,-,-,,一般,,
2020/11/09,PVF,202012  ,-,-,-,-,-,-,0.0,781,0,759,-,-,-,,一般,,
2020/11/09,PVF,202103  ,-,-,-,-,-,-,0.0,782,0,689,-,-,-,,一般,,
2020/11/09,PVF,202106  ,-,-,-,-,-,-,0.0,784,0,691,-,-,-,,一般,,
2020/11/09,PVF,202109  ,-,-,-,-,-,-,0.0,784,0,691,-,-,-,,一般,,
2020/11/10,PVF,202011  ,-,-,-,-,-,-,0.0,788,0,731,-,-,-,,一般,,
2020/11/10,PVF,202012  ,-,-,-,-,-,-,0.0,789,0,725,-,-,-,,一般,,
2020/11/10,PVF,202103  ,-,-,-,-,-,-,0.0,790,0,-,-,-,-,,一般,,
2020/11/10,PVF,202106  ,-,-,-,-,-,-,0.0,792,0,-,-,-,-,,一般,,
2020/11/10,PVF,202109  ,-,-,-,-,-,-,0.0,792,0,-,-,-,-,,一般,,
2020/11/11,PVF,202011  ,783,783,783,783,-5,-0.63%,1.0,738,1,-,776,783,783,,一般,,
2020/11/11,PVF,202012  ,777,777,777,777,-12,-1.52%,1.0,739,1,-,774,777,777,,一般,,
2020/11/11,PVF,202103  ,-,-,-,-,-,-,0.0,740,0,-,806,-,-,,一般,,
2020/11/11,PVF,202106  ,-,-,-,-,-,-,0.0,742,0,-,806,-,-,,一般,,
2020/11/11,PVF,202109  ,-,-,-,-,-,-,0.0,742,0,-,806,-,-,,一般,,
2020/11/12,PVF,202011  ,-,-,-,-,-,-,0.0,711,1,666,784,783,783,,一般,,
2020/11/12,PVF,202012  ,-,-,-,-,-,-,0.0,712,1,-,784,777,777,,一般,,
2020/11/12,PVF,202103  ,-,-,-,-,-,-,0.0,713,0,-,800,-,-,,一般,,
2020/11/12,PVF,202106  ,-,-,-,-,-,-,0.0,715,0,-,797,-,-,,一般,,
2020/11/12,PVF,202109  ,-,-,-,-,-,-,0.0,715,0,-,797,-,-,,一般,,
2020/11/13,PVF,202011  ,-,-,-,-,-,-,0.0,697,1,-,782,783,783,,一般,,
2020/11/13,PVF,202012  ,-,-,-,-,-,-,0.0,698,1,-,780,777,777,,一般,,
2020/11/13,PVF,202103  ,-,-,-,-,-,-,0.0,699,0,-,-,-,-,,一般,,
2020/11/13,PVF,202106  ,-,-,-,-,-,-,0.0,701,0,-,-,-,-,,一般,,
2020/11/13,PVF,202109  ,-,-,-,-,-,-,0.0,701,0,-,-,-,-,,一般,,
2020/11/16,PVF,202011  ,690,690,682,682,-15,-2.15%,4.0,683,4,638,766,783,682,,一般,,
2020/11/16,PVF,202012  ,-,-,-,-,-,-,0.0,683,1,632,766,777,777,,一般,,
2020/11/16,PVF,202103  ,-,-,-,-,-,-,0.0,685,0,-,-,-,-,,一般,,
2020/11/16,PVF,202106  ,-,-,-,-,-,-,0.0,687,0,-,-,-,-,,一般,,
2020/11/16,PVF,202109  ,-,-,-,-,-,-,0.0,687,0,-,-,-,-,,一般,,
