交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2020/11/02,PWF,202011  ,-,-,-,-,-,-,0.0,707,0,655,-,-,-,,一般,,
2020/11/02,PWF,202012  ,-,-,-,-,-,-,0.0,708,0,-,-,-,-,,一般,,
2020/11/02,PWF,202103  ,-,-,-,-,-,-,0.0,709,0,-,-,-,-,,一般,,
2020/11/02,PWF,202106  ,-,-,-,-,-,-,0.0,711,0,-,-,-,-,,一般,,
2020/11/02,PWF,202109  ,-,-,-,-,-,-,0.0,711,0,-,-,-,-,,一般,,
2020/11/03,PWF,202011  ,-,-,-,-,-,-,0.0,719,0,-,720,-,-,,一般,,
2020/11/03,PWF,202012  ,717,717,717,717,9,1.27%,5.0,717,5,-,717,717,717,,一般,,
2020/11/03,PWF,202103  ,-,-,-,-,-,-,0.0,721,0,-,760,-,-,,一般,,
2020/11/03,PWF,202106  ,-,-,-,-,-,-,0.0,723,0,-,760,-,-,,一般,,
2020/11/03,PWF,202109  ,-,-,-,-,-,-,0.0,723,0,-,760,-,-,,一般,,
2020/11/04,PWF,202011  ,-,-,-,-,-,-,0.0,721,0,-,-,-,-,,一般,,
2020/11/04,PWF,202012  ,-,-,-,-,-,-,0.0,719,5,-,-,717,717,,一般,,
2020/11/04,PWF,202103  ,-,-,-,-,-,-,0.0,723,0,-,-,-,-,,一般,,
2020/11/04,PWF,202106  ,-,-,-,-,-,-,0.0,725,0,-,-,-,-,,一般,,
2020/11/04,PWF,202109  ,-,-,-,-,-,-,0.0,725,0,-,-,-,-,,一般,,
2020/11/05,PWF,202011  ,741,741,741,741,20,2.77%,1.0,745,1,738,-,741,741,,一般,,
2020/11/05,PWF,202012  ,-,-,-,-,-,-,0.0,743,5,732,-,717,717,,一般,,
2020/11/05,PWF,202103  ,-,-,-,-,-,-,0.0,747,0,678,-,-,-,,一般,,
2020/11/05,PWF,202106  ,-,-,-,-,-,-,0.0,749,0,678,-,-,-,,一般,,
2020/11/05,PWF,202109  ,-,-,-,-,-,-,0.0,749,0,678,-,-,-,,一般,,
2020/11/06,PWF,202011  ,-,-,-,-,-,-,0.0,741,1,-,748,741,741,,一般,,
2020/11/06,PWF,202012  ,748,748,742,742,-1,-0.13%,4.0,742,6,-,742,748,717,,一般,,
2020/11/06,PWF,202103  ,-,-,-,-,-,-,0.0,743,0,-,-,-,-,,一般,,
2020/11/06,PWF,202106  ,-,-,-,-,-,-,0.0,745,0,-,-,-,-,,一般,,
2020/11/06,PWF,202109  ,-,-,-,-,-,-,0.0,745,0,-,-,-,-,,一般,,
2020/11/09,PWF,202011  ,767,772,767,772,31,4.18%,4.0,780,1,776,-,772,741,,一般,,
2020/11/09,PWF,202012  ,768,771,768,771,29,3.91%,2.0,781,7,775,-,771,717,,一般,,
2020/11/09,PWF,202103  ,-,-,-,-,-,-,0.0,782,0,706,-,-,-,,一般,,
2020/11/09,PWF,202106  ,-,-,-,-,-,-,0.0,784,0,706,-,-,-,,一般,,
2020/11/09,PWF,202109  ,-,-,-,-,-,-,0.0,784,0,706,-,-,-,,一般,,
2020/11/10,PWF,202011  ,781,781,779,779,-1,-0.13%,6.0,788,4,783,833,781,741,,一般,,
2020/11/10,PWF,202012  ,781,781,778,778,-3,-0.38%,4.0,789,8,781,831,781,717,,一般,,
2020/11/10,PWF,202103  ,-,-,-,-,-,-,0.0,790,0,733,-,-,-,,一般,,
2020/11/10,PWF,202106  ,-,-,-,-,-,-,0.0,792,0,733,-,-,-,,一般,,
2020/11/10,PWF,202109  ,-,-,-,-,-,-,0.0,792,0,733,-,-,-,,一般,,
2020/11/11,PWF,202011  ,748,749,736,738,-50,-6.35%,18.0,738,6,714,754,781,736,,一般,,
2020/11/11,PWF,202012  ,-,-,-,-,-,-,0.0,739,8,713,751,781,717,,一般,,
2020/11/11,PWF,202103  ,-,-,-,-,-,-,0.0,740,0,-,-,-,-,,一般,,
2020/11/11,PWF,202106  ,-,-,-,-,-,-,0.0,742,0,-,-,-,-,,一般,,
2020/11/11,PWF,202109  ,-,-,-,-,-,-,0.0,742,0,-,-,-,-,,一般,,
2020/11/12,PWF,202011  ,745,745,715,715,-23,-3.12%,11.0,711,8,668,809,781,715,,一般,,
2020/11/12,PWF,202012  ,739,-,-,739,0,0.00%,5.0,712,8,666,806,781,717,,一般,,
2020/11/12,PWF,202103  ,-,-,-,-,-,-,0.0,713,0,-,-,-,-,,一般,,
2020/11/12,PWF,202106  ,-,-,-,-,-,-,0.0,715,0,-,-,-,-,,一般,,
2020/11/12,PWF,202109  ,-,-,-,-,-,-,0.0,715,0,-,-,-,-,,一般,,
2020/11/13,PWF,202011  ,713,713,695,697,-14,-1.97%,10.0,697,9,-,-,781,695,,一般,,
2020/11/13,PWF,202012  ,712,-,-,712,0,0.00%,2.0,698,8,-,-,781,717,,一般,,
2020/11/13,PWF,202103  ,-,-,-,-,-,-,0.0,699,0,-,-,-,-,,一般,,
2020/11/13,PWF,202106  ,-,-,-,-,-,-,0.0,701,0,-,-,-,-,,一般,,
2020/11/13,PWF,202109  ,-,-,-,-,-,-,0.0,701,0,-,-,-,-,,一般,,
2020/11/16,PWF,202011  ,687,700,680,683,-14,-2.01%,46.0,683,39,681,-,781,680,,一般,,
2020/11/16,PWF,202012  ,686,686,679,683,-15,-2.15%,20.0,683,25,679,-,781,679,,一般,,
2020/11/16,PWF,202103  ,-,-,-,-,-,-,0.0,685,0,642,-,-,-,,一般,,
2020/11/16,PWF,202106  ,-,-,-,-,-,-,0.0,687,0,638,-,-,-,,一般,,
2020/11/16,PWF,202109  ,-,-,-,-,-,-,0.0,687,0,635,-,-,-,,一般,,
2020/11/17,PWF,202011  ,692,692,689,691,8,1.17%,10.0,691,35,673,702,781,680,,一般,,
2020/11/17,PWF,202012  ,692,692,689,689,6,0.88%,7.0,689,23,688,697,781,679,,一般,,
2020/11/17,PWF,202103  ,-,-,-,-,-,-,0.0,693,0,-,-,-,-,,一般,,
2020/11/17,PWF,202106  ,-,-,-,-,-,-,0.0,695,0,-,-,-,-,,一般,,
2020/11/17,PWF,202109  ,-,-,-,-,-,-,0.0,695,0,-,-,-,-,,一般,,
2020/11/18,PWF,202011  ,689,689,681,685,-6,-0.87%,15.0,0,30,682,684,781,680,,一般,,
2020/11/18,PWF,202012  ,687,687,681,684,-5,-0.73%,12.0,687,24,681,-,781,679,,一般,,
2020/11/18,PWF,202103  ,-,-,-,-,-,-,0.0,691,0,637,-,-,-,,一般,,
2020/11/18,PWF,202106  ,-,-,-,-,-,-,0.0,693,0,634,-,-,-,,一般,,
2020/11/18,PWF,202109  ,-,-,-,-,-,-,0.0,693,0,631,-,-,-,,一般,,
2020/11/19,PWF,202012  ,688,696,685,692,5,0.73%,22.0,692,34,693,695,781,679,,一般,,
2020/11/19,PWF,202101  ,-,-,-,-,-,-,0.0,693,0,691,695,-,-,,一般,,
2020/11/19,PWF,202103  ,-,-,-,-,-,-,0.0,696,0,676,696,-,-,,一般,,
2020/11/19,PWF,202106  ,-,-,-,-,-,-,0.0,698,0,662,696,-,-,,一般,,
2020/11/19,PWF,202109  ,-,-,-,-,-,-,0.0,698,0,641,742,-,-,,一般,,
2020/11/20,PWF,202012  ,688,688,683,683,-9,-1.30%,17.0,683,37,683,685,781,679,,一般,,
2020/11/20,PWF,202101  ,-,-,-,-,-,-,0.0,684,0,681,685,-,-,,一般,,
2020/11/20,PWF,202103  ,-,-,-,-,-,-,0.0,687,0,666,686,-,-,,一般,,
2020/11/20,PWF,202106  ,-,-,-,-,-,-,0.0,689,0,652,686,-,-,,一般,,
2020/11/20,PWF,202109  ,-,-,-,-,-,-,0.0,689,0,639,744,-,-,,一般,,
