交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2022/07/27,PX1,202208  ,371,371,340,350,-18,-4.89%,183.0,351,190,349.5,351,799,340,,一般,,
2022/07/27,PX1,202209  ,-,-,-,-,-,-,0.0,350,6,348,350.5,784,661,,一般,,
2022/07/28,PX1,202208  ,354,358,343.5,344.5,-6.5,-1.85%,28.0,344,182,342,348,799,340,,一般,,
2022/07/28,PX1,202209  ,-,-,-,-,-,-,0.0,345,6,340.5,347.5,784,661,,一般,,
2022/07/29,PX1,202208  ,347,349.5,347,349.5,5.5,1.60%,6.0,349.5,182,348,349.5,799,340,,一般,,
2022/07/29,PX1,202209  ,-,-,-,-,-,-,0.0,348.5,6,346.5,348.5,784,661,,一般,,
2022/08/01,PX1,202208  ,341.5,342,341.5,342,-7.5,-2.15%,4.0,344.5,182,341.5,344.5,799,340,,一般,,
2022/08/01,PX1,202209  ,-,-,-,-,-,-,0.0,343.5,6,340,344,784,661,,一般,,
2022/08/02,PX1,202208  ,338,338,338,338,-6.5,-1.89%,2.0,338,182,-,338.5,799,338,,一般,,
2022/08/02,PX1,202209  ,-,-,-,-,-,-,0.0,338,6,-,337.5,784,661,,一般,,
2022/08/03,PX1,202208  ,344.5,346.5,344.5,346.5,8.5,2.51%,4.0,343.5,182,341,343.5,799,338,,一般,,
2022/08/03,PX1,202209  ,-,-,-,-,-,-,0.0,343.5,6,339.5,343,784,661,,一般,,
2022/08/04,PX1,202208  ,-,-,-,-,-,-,0.0,345.5,182,344,347,799,338,,一般,,
2022/08/04,PX1,202209  ,-,-,-,-,-,-,0.0,345,6,342.5,346.5,784,661,,一般,,
2022/08/05,PX1,202208  ,351,366,351,366,20.5,5.93%,13.0,364,182,354,366,799,338,,一般,,
2022/08/05,PX1,202209  ,359.5,364,359.5,364,19,5.51%,2.0,364,7,352.5,365,784,359.5,,一般,,
2022/08/08,PX1,202208  ,351,389,351,387.5,23.5,6.46%,25.0,386,182,373.5,388,799,338,,一般,,
2022/08/08,PX1,202209  ,350,350,350,350,-14,-3.85%,1.0,385.5,8,365,386.5,784,350,,一般,,
2022/08/09,PX1,202208  ,397.5,408,397.5,408,22,5.70%,3.0,411,182,410,413.5,799,338,,一般,,
2022/08/09,PX1,202209  ,-,-,-,-,-,-,0.0,409,8,405.5,411.5,784,350,,一般,,
2022/08/10,PX1,202208  ,410.5,417,402.5,403,-8,-1.95%,5.0,402,182,398,402,799,338,,一般,,
2022/08/10,PX1,202209  ,-,-,-,-,-,-,0.0,400,8,395,400,784,350,,一般,,
2022/08/11,PX1,202208  ,404.5,410,404,410,8,1.99%,4.0,410,181,405.5,412,799,338,,一般,,
2022/08/11,PX1,202209  ,-,-,-,-,-,-,0.0,407,8,403.5,410,784,350,,一般,,
2022/08/12,PX1,202208  ,410,411,410,411,1,0.24%,3.0,408.5,180,404.5,408.5,799,338,,一般,,
2022/08/12,PX1,202209  ,-,-,-,-,-,-,0.0,406,8,400,406.5,784,350,,一般,,
2022/08/15,PX1,202208  ,408.5,-,-,408.5,0,0.00%,18.0,402,178,398.5,402,799,338,,一般,,
2022/08/15,PX1,202209  ,406,-,-,406,0,0.00%,18.0,400.5,24,397,400.5,784,350,,一般,,
2022/08/16,PX1,202208  ,408,408,408,408,6,1.49%,3.0,404,177,-,405,799,338,,一般,,
2022/08/16,PX1,202209  ,400.5,-,-,400.5,0,0.00%,1.0,402.5,25,-,403,784,350,,一般,,
2022/08/17,PX1,202208  ,403.5,407,403.5,407,3,0.74%,5.0,0,174,406.5,407,799,338,,一般,,
2022/08/17,PX1,202209  ,402,402,402,402,-0.5,-0.12%,1.0,403.5,26,399,402.5,784,350,,一般,,
2022/08/18,PX1,202209  ,400,400,400,400,-3.5,-0.87%,1.0,400,27,394,-,784,350,,一般,,
2022/08/19,PX1,202209  ,-,-,-,-,-,-,0.0,400,27,-,418,784,350,,一般,,
2022/08/22,PX1,202209  ,-,-,-,-,-,-,0.0,387.5,27,-,394,784,350,,一般,,
2022/08/23,PX1,202209  ,-,-,-,-,-,-,0.0,383,27,-,-,784,350,,一般,,
2022/08/24,PX1,202209  ,-,-,-,-,-,-,0.0,384.5,27,-,-,784,350,,一般,,
2022/08/25,PX1,202209  ,-,-,-,-,-,-,0.0,384,27,379.5,387.5,784,350,,一般,,
2022/08/26,PX1,202209  ,-,-,-,-,-,-,0.0,387.5,27,-,-,784,350,,一般,,
2022/08/29,PX1,202209  ,-,-,-,-,-,-,0.0,374,27,-,-,784,350,,一般,,
2022/08/30,PX1,202209  ,-,-,-,-,-,-,0.0,378,27,371.5,378,784,350,,一般,,
2022/08/31,PX1,202209  ,372,372,372,372,-6,-1.59%,1.0,372,27,-,372,784,350,,一般,,
2022/08/05,PX1,202208/202209    ,-,-,-,-,-,-,0.0,-,-,-1.49,-1.01,-,-,,一般,2.0,
2022/08/08,PX1,202208/202209    ,-,-,-,-,-,-,0.0,-,-,-,-1.51,-,-,,一般,1.0,
2022/08/15,PX1,202208/202209    ,-2.49,-1.5,-2.49,-1.55,-,-,18.0,-,-,-4.01,-1.55,-1.5,-2.49,,一般,0.0,
2022/08/16,PX1,202208/202209    ,-2.3,-2.3,-2.3,-2.3,-,-,1.0,-,-,-,-2.1,-1.5,-2.49,,一般,0.0,
2022/08/17,PX1,202208/202209    ,-,-,-,-,-,-,0.0,-,-,-,-,-1.5,-2.49,,一般,1.0,
2022/09/01,PX1,202209  ,367,367,367,367,-5,-1.34%,1.0,369,26,-,370,784,350,,一般,,
2022/09/02,PX1,202209  ,-,-,-,-,-,-,0.0,364.5,26,-,-,784,350,,一般,,
2022/09/05,PX1,202209  ,-,-,-,-,-,-,0.0,355.5,26,-,-,784,350,,一般,,
2022/09/06,PX1,202209  ,364,365,364,365,9.5,2.67%,3.0,370.5,23,-,-,784,350,,一般,,
2022/09/07,PX1,202209  ,-,-,-,-,-,-,0.0,358.5,23,349,-,784,350,,一般,,
2022/09/08,PX1,202209  ,-,-,-,-,-,-,0.0,367.5,23,-,-,784,350,,一般,,
2022/09/12,PX1,202209  ,-,-,-,-,-,-,0.0,372,23,-,-,784,350,,一般,,
2022/09/13,PX1,202209  ,-,-,-,-,-,-,0.0,363.5,23,-,-,784,350,,一般,,
2022/09/14,PX1,202209  ,-,-,-,-,-,-,0.0,358,23,-,-,784,350,,一般,,
2022/09/15,PX1,202209  ,-,-,-,-,-,-,0.0,366.5,23,-,-,784,350,,一般,,
2022/09/16,PX1,202209  ,-,-,-,-,-,-,0.0,357.5,23,-,359,784,350,,一般,,
2022/09/19,PX1,202209  ,-,-,-,-,-,-,0.0,353.5,23,-,-,784,350,,一般,,
2022/09/20,PX1,202209  ,-,-,-,-,-,-,0.0,354,23,-,-,784,350,,一般,,
2022/09/21,PX1,202209  ,-,-,-,-,-,-,0.0,0,23,355.5,356,784,350,,一般,,
