交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2022/06/28,PZ1,202207  ,-,-,-,-,-,-,0.0,2130,6,-,-,2475,2165,,一般,,
2022/06/28,PZ1,202209  ,-,-,-,-,-,-,0.0,2130,6,-,-,2710,2330,,一般,,
2022/06/29,PZ1,202207  ,2050,2050,2050,2050,-80,-3.76%,1.0,2000,6,-,2150,2475,2050,,一般,,
2022/06/29,PZ1,202209  ,-,-,-,-,-,-,0.0,2000,6,-,-,2710,2330,,一般,,
2022/06/30,PZ1,202207  ,1925,1925,1925,1925,-75,-3.75%,1.0,1900,5,-,-,2475,1925,,一般,,
2022/06/30,PZ1,202209  ,-,-,-,-,-,-,0.0,1900,6,-,-,2710,2330,,一般,,
2022/07/01,PZ1,202207  ,1790,1790,1790,1790,-110,-5.79%,1.0,1730,4,-,-,2475,1790,,一般,,
2022/07/01,PZ1,202209  ,-,-,-,-,-,-,0.0,1730,6,-,-,2710,2330,,一般,,
2022/07/04,PZ1,202207  ,1710,1710,1710,1710,-20,-1.16%,1.0,1690,4,-,-,2475,1710,,一般,,
2022/07/04,PZ1,202209  ,-,-,-,-,-,-,0.0,1690,6,-,-,2710,2330,,一般,,
2022/07/05,PZ1,202207  ,1735,1735,1735,1735,45,2.66%,1.0,1695,3,-,-,2475,1710,,一般,,
2022/07/05,PZ1,202209  ,-,-,-,-,-,-,0.0,1695,6,-,-,2710,2330,,一般,,
2022/07/06,PZ1,202207  ,-,-,-,-,-,-,0.0,1615,3,-,-,2475,1710,,一般,,
2022/07/06,PZ1,202209  ,-,-,-,-,-,-,0.0,1615,6,-,-,2710,2330,,一般,,
2022/07/07,PZ1,202207  ,-,-,-,-,-,-,0.0,1715,3,-,-,2475,1710,,一般,,
2022/07/07,PZ1,202209  ,-,-,-,-,-,-,0.0,1715,6,-,-,2710,2330,,一般,,
2022/07/08,PZ1,202207  ,-,-,-,-,-,-,0.0,1750,3,-,-,2475,1710,,一般,,
2022/07/08,PZ1,202209  ,-,-,-,-,-,-,0.0,1750,6,-,-,2710,2330,,一般,,
2022/07/11,PZ1,202207  ,-,-,-,-,-,-,0.0,1655,3,-,-,2475,1710,,一般,,
2022/07/11,PZ1,202209  ,-,-,-,-,-,-,0.0,1655,6,-,-,2710,2330,,一般,,
2022/07/12,PZ1,202207  ,-,-,-,-,-,-,0.0,1590,3,-,-,2475,1710,,一般,,
2022/07/12,PZ1,202209  ,-,-,-,-,-,-,0.0,1590,6,-,-,2710,2330,,一般,,
2022/07/13,PZ1,202207  ,-,-,-,-,-,-,0.0,1705,3,-,-,2475,1710,,一般,,
2022/07/13,PZ1,202209  ,-,-,-,-,-,-,0.0,1705,6,-,-,2710,2330,,一般,,
2022/07/14,PZ1,202207  ,-,-,-,-,-,-,0.0,1820,3,-,-,2475,1710,,一般,,
2022/07/14,PZ1,202209  ,-,-,-,-,-,-,0.0,1820,6,-,-,2710,2330,,一般,,
2022/07/15,PZ1,202207  ,-,-,-,-,-,-,0.0,1815,3,-,-,2475,1710,,一般,,
2022/07/15,PZ1,202209  ,-,-,-,-,-,-,0.0,1815,6,-,-,2710,2330,,一般,,
2022/07/18,PZ1,202207  ,-,-,-,-,-,-,0.0,1890,3,-,-,2475,1710,,一般,,
2022/07/18,PZ1,202209  ,-,-,-,-,-,-,0.0,1890,6,-,-,2710,2330,,一般,,
2022/07/19,PZ1,202207  ,-,-,-,-,-,-,0.0,1735,3,-,-,2475,1710,,一般,,
2022/07/19,PZ1,202209  ,-,-,-,-,-,-,0.0,1740,6,-,-,2710,2330,,一般,,
2022/07/20,PZ1,202207  ,-,-,-,-,-,-,0.0,0,3,1595,1800,2475,1710,,一般,,
2022/07/20,PZ1,202209  ,-,-,-,-,-,-,0.0,1805,6,-,-,2710,2330,,一般,,
2022/07/21,PZ1,202209  ,-,-,-,-,-,-,0.0,1885,6,-,-,2710,2330,,一般,,
2022/07/22,PZ1,202209  ,-,-,-,-,-,-,0.0,1800,6,-,-,2710,2330,,一般,,
2022/07/25,PZ1,202209  ,-,-,-,-,-,-,0.0,1800,6,-,-,2710,2330,,一般,,
2022/07/26,PZ1,202209  ,-,-,-,-,-,-,0.0,1730,6,-,-,2710,2330,,一般,,
2022/07/27,PZ1,202209  ,-,-,-,-,-,-,0.0,1865,6,-,-,2710,2330,,一般,,
2022/07/28,PZ1,202209  ,-,-,-,-,-,-,0.0,1855,6,-,-,2710,2330,,一般,,
2022/07/29,PZ1,202209  ,-,-,-,-,-,-,0.0,1930,6,-,-,2710,2330,,一般,,
2022/08/01,PZ1,202209  ,-,-,-,-,-,-,0.0,1830,6,-,-,2710,2330,,一般,,
2022/08/02,PZ1,202209  ,-,-,-,-,-,-,0.0,1780,6,-,1905,2710,2330,,一般,,
2022/08/03,PZ1,202209  ,-,-,-,-,-,-,0.0,1815,6,-,1900,2710,2330,,一般,,
2022/08/04,PZ1,202209  ,-,-,-,-,-,-,0.0,1750,6,-,1900,2710,2330,,一般,,
2022/08/05,PZ1,202209  ,-,-,-,-,-,-,0.0,1860,6,-,1900,2710,2330,,一般,,
2022/08/08,PZ1,202209  ,-,-,-,-,-,-,0.0,1805,6,-,1900,2710,2330,,一般,,
2022/08/09,PZ1,202209  ,-,-,-,-,-,-,0.0,1730,6,-,1850,2710,2330,,一般,,
2022/08/10,PZ1,202209  ,-,-,-,-,-,-,0.0,1590,6,-,1850,2710,2330,,一般,,
2022/08/11,PZ1,202209  ,-,-,-,-,-,-,0.0,1655,6,-,-,2710,2330,,一般,,
2022/08/12,PZ1,202209  ,-,-,-,-,-,-,0.0,1765,6,-,-,2710,2330,,一般,,
2022/08/15,PZ1,202209  ,1795,1885,1795,1885,120,6.80%,2.0,1930,4,-,-,2710,1795,,一般,,
2022/08/16,PZ1,202209  ,-,-,-,-,-,-,0.0,1925,4,-,-,2710,1795,,一般,,
2022/08/17,PZ1,202209  ,-,-,-,-,-,-,0.0,1910,4,-,-,2710,1795,,一般,,
2022/08/18,PZ1,202209  ,-,-,-,-,-,-,0.0,1935,4,-,-,2710,1795,,一般,,
2022/08/19,PZ1,202209  ,1980,1980,1980,1980,45,2.33%,1.0,1955,3,-,2090,2710,1795,,一般,,
2022/08/22,PZ1,202209  ,-,-,-,-,-,-,0.0,1830,3,-,-,2710,1795,,一般,,
2022/08/23,PZ1,202209  ,-,-,-,-,-,-,0.0,1855,3,-,-,2710,1795,,一般,,
2022/08/24,PZ1,202209  ,2000,2040,2000,2040,185,9.97%,2.0,1980,1,-,-,2710,1795,,一般,,
2022/08/25,PZ1,202209  ,-,-,-,-,-,-,0.0,1970,1,-,-,2710,1795,,一般,,
2022/08/26,PZ1,202209  ,2090,2090,2090,2090,120,6.09%,1.0,2150,0,-,-,2710,1795,,一般,,
