交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2021/02/01,QDF,202102  ,-,-,-,-,-,-,0.0,126.5,0,-,-,-,-,,一般,,
2021/02/01,QDF,202103  ,-,-,-,-,-,-,0.0,126.5,0,-,-,-,-,,一般,,
2021/02/01,QDF,202106  ,-,-,-,-,-,-,0.0,127,0,-,-,-,-,,一般,,
2021/02/01,QDF,202109  ,-,-,-,-,-,-,0.0,127,0,-,-,-,-,,一般,,
2021/02/01,QDF,202112  ,-,-,-,-,-,-,0.0,127.5,0,-,-,-,-,,一般,,
2021/02/02,QDF,202102  ,-,-,-,-,-,-,0.0,130.5,0,-,-,-,-,,一般,,
2021/02/02,QDF,202103  ,-,-,-,-,-,-,0.0,130.5,0,-,-,-,-,,一般,,
2021/02/02,QDF,202106  ,-,-,-,-,-,-,0.0,131,0,-,-,-,-,,一般,,
2021/02/02,QDF,202109  ,-,-,-,-,-,-,0.0,131,0,-,-,-,-,,一般,,
2021/02/02,QDF,202112  ,-,-,-,-,-,-,0.0,131.5,0,-,-,-,-,,一般,,
2021/02/03,QDF,202102  ,-,-,-,-,-,-,0.0,131,0,-,-,-,-,,一般,,
2021/02/03,QDF,202103  ,-,-,-,-,-,-,0.0,131,0,-,-,-,-,,一般,,
2021/02/03,QDF,202106  ,-,-,-,-,-,-,0.0,131.5,0,-,-,-,-,,一般,,
2021/02/03,QDF,202109  ,-,-,-,-,-,-,0.0,131.5,0,-,-,-,-,,一般,,
2021/02/03,QDF,202112  ,-,-,-,-,-,-,0.0,132,0,-,-,-,-,,一般,,
2021/02/04,QDF,202102  ,-,-,-,-,-,-,0.0,128.5,0,-,132,-,-,,一般,,
2021/02/04,QDF,202103  ,-,-,-,-,-,-,0.0,128.5,0,-,132,-,-,,一般,,
2021/02/04,QDF,202106  ,-,-,-,-,-,-,0.0,129,0,-,140,-,-,,一般,,
2021/02/04,QDF,202109  ,-,-,-,-,-,-,0.0,129,0,-,140,-,-,,一般,,
2021/02/04,QDF,202112  ,-,-,-,-,-,-,0.0,129.5,0,-,140.5,-,-,,一般,,
2021/02/05,QDF,202102  ,-,-,-,-,-,-,0.0,127,0,-,-,-,-,,一般,,
2021/02/05,QDF,202103  ,-,-,-,-,-,-,0.0,127,0,-,-,-,-,,一般,,
2021/02/05,QDF,202106  ,-,-,-,-,-,-,0.0,127.5,0,-,-,-,-,,一般,,
2021/02/05,QDF,202109  ,-,-,-,-,-,-,0.0,127.5,0,-,-,-,-,,一般,,
2021/02/05,QDF,202112  ,-,-,-,-,-,-,0.0,128,0,-,-,-,-,,一般,,
2021/02/17,QDF,202102  ,138.5,139,138.5,139,12,9.45%,2.0,0,2,139,139.5,139,138.5,,一般,,
2021/02/17,QDF,202103  ,-,-,-,-,-,-,0.0,139,0,138,-,-,-,,一般,,
2021/02/17,QDF,202106  ,-,-,-,-,-,-,0.0,139.5,0,127,-,-,-,,一般,,
2021/02/17,QDF,202109  ,-,-,-,-,-,-,0.0,139.5,0,127,-,-,-,,一般,,
