交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2021/02/01,QHF,202102  ,394,412,390,410,16,4.06%,31.0,408,16,410,412,412,390,,一般,,
2021/02/01,QHF,202103  ,393,412,390,411.5,18.5,4.71%,16.0,406,10,407.5,412,412,390,,一般,,
2021/02/01,QHF,202106  ,-,-,-,-,-,-,0.0,407.5,0,378,-,-,-,,一般,,
2021/02/01,QHF,202109  ,-,-,-,-,-,-,0.0,402,0,378,-,-,-,,一般,,
2021/02/01,QHF,202112  ,-,-,-,-,-,-,0.0,401.5,0,400,426,-,-,,一般,,
2021/02/02,QHF,202102  ,420,425.5,417,423.5,15.5,3.80%,97.0,423.5,27,423,-,425.5,390,,一般,,
2021/02/02,QHF,202103  ,418,424,417,421,15,3.69%,15.0,422.5,15,421.5,-,424,390,,一般,,
2021/02/02,QHF,202106  ,-,-,-,-,-,-,0.0,420,0,384,-,-,-,,一般,,
2021/02/02,QHF,202109  ,-,-,-,-,-,-,0.0,418,0,384,-,-,-,,一般,,
2021/02/02,QHF,202112  ,-,-,-,-,-,-,0.0,417,0,378,-,-,-,,一般,,
2021/02/03,QHF,202102  ,429.5,435,420,433.5,10,2.36%,82.0,433.5,56,431.5,433.5,435,390,,一般,,
2021/02/03,QHF,202103  ,422.5,434.5,418,430.5,8,1.89%,40.0,433,26,431.5,433.5,434.5,390,,一般,,
2021/02/03,QHF,202106  ,-,-,-,-,-,-,0.0,430,0,396.5,456.5,-,-,,一般,,
2021/02/03,QHF,202109  ,-,-,-,-,-,-,0.0,428,0,394.5,453.5,-,-,,一般,,
2021/02/03,QHF,202112  ,-,-,-,-,-,-,0.0,427,0,393.5,452.5,-,-,,一般,,
2021/02/04,QHF,202102  ,427.5,444,424,437,3.5,0.81%,373.0,438.5,178,435.5,437.5,444,390,,一般,,
2021/02/04,QHF,202103  ,434.5,444,432.5,435.5,2.5,0.58%,71.0,435.5,47,435.5,437.5,444,390,,一般,,
2021/02/04,QHF,202106  ,-,-,-,-,-,-,0.0,435,0,400.5,459.5,-,-,,一般,,
2021/02/04,QHF,202109  ,-,-,-,-,-,-,0.0,433,0,399.5,456.5,-,-,,一般,,
2021/02/04,QHF,202112  ,-,-,-,-,-,-,0.0,432,0,393.5,455.5,-,-,,一般,,
2021/02/05,QHF,202102  ,451,482,451,482,43.5,9.92%,338.0,481.5,309,481.5,482,482,390,,一般,,
2021/02/05,QHF,202103  ,464,479,461.5,479,43.5,9.99%,61.0,479,57,479,-,479,390,,一般,,
