交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2021/05/03,QNF,202105  ,614,614,588,588,-20,-3.29%,50.0,587,36,588,598,614,588,,一般,,
2021/05/03,QNF,202106  ,606,606,597,597,-10,-1.65%,8.0,584,5,585,598,606,597,,一般,,
2021/05/03,QNF,202109  ,-,-,-,-,-,-,0.0,584,0,553,643,-,-,,一般,,
2021/05/03,QNF,202112  ,-,-,-,-,-,-,0.0,586,0,555,643,-,-,,一般,,
2021/05/03,QNF,202203  ,-,-,-,-,-,-,0.0,586,0,550,643,-,-,,一般,,
2021/05/04,QNF,202105  ,595,595,538,570,-17,-2.90%,53.0,570,54,568,-,614,538,,一般,,
2021/05/04,QNF,202106  ,570,571,536,569,-15,-2.57%,13.0,569,7,566,-,606,536,,一般,,
2021/05/04,QNF,202109  ,-,-,-,-,-,-,0.0,567,0,-,-,-,-,,一般,,
2021/05/04,QNF,202112  ,-,-,-,-,-,-,0.0,569,0,-,-,-,-,,一般,,
2021/05/04,QNF,202203  ,-,-,-,-,-,-,0.0,569,0,-,-,-,-,,一般,,
2021/05/05,QNF,202105  ,571,571,525,525,-45,-7.89%,91.0,526,86,515,535,614,525,,一般,,
2021/05/05,QNF,202106  ,566,566,529,529,-40,-7.03%,15.0,529,11,513,535,606,529,,一般,,
2021/05/05,QNF,202109  ,-,-,-,-,-,-,0.0,527,0,-,544,-,-,,一般,,
2021/05/05,QNF,202112  ,-,-,-,-,-,-,0.0,525,0,-,544,-,-,,一般,,
2021/05/05,QNF,202203  ,-,-,-,-,-,-,0.0,525,0,-,544,-,-,,一般,,
2021/05/06,QNF,202105  ,540,547,519,526,0,0.00%,57.0,534,95,530,544,614,519,,一般,,
2021/05/06,QNF,202106  ,545,545,519,525,-4,-0.76%,15.0,532,14,528,544,606,519,,一般,,
2021/05/06,QNF,202109  ,-,-,-,-,-,-,0.0,533,0,497,568,-,-,,一般,,
2021/05/06,QNF,202112  ,-,-,-,-,-,-,0.0,533,0,495,561,-,-,,一般,,
2021/05/06,QNF,202203  ,-,-,-,-,-,-,0.0,533,0,490,561,-,-,,一般,,
2021/05/07,QNF,202105  ,534,551,530,549,15,2.81%,78.0,549,138,549,555,614,519,,一般,,
2021/05/07,QNF,202106  ,535,550,535,544,12,2.26%,27.0,547,23,547,555,606,519,,一般,,
2021/05/07,QNF,202109  ,-,-,-,-,-,-,0.0,548,0,513,582,-,-,,一般,,
2021/05/07,QNF,202112  ,-,-,-,-,-,-,0.0,548,0,513,577,-,-,,一般,,
2021/05/07,QNF,202203  ,-,-,-,-,-,-,0.0,548,0,508,577,-,-,,一般,,
