交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2021/08/02,QOF,202108  ,38.8,38.8,38.8,38.8,-0.05,-0.13%,1.0,38.8,1,37.5,42.7,38.8,38.8,,一般,,
2021/08/02,QOF,202109  ,-,-,-,-,-,-,0.0,38.75,0,37.35,-,-,-,,一般,,
2021/08/02,QOF,202112  ,-,-,-,-,-,-,0.0,38.9,0,37.05,42.75,-,-,,一般,,
2021/08/02,QOF,202203  ,-,-,-,-,-,-,0.0,38.95,0,36.8,-,-,-,,一般,,
2021/08/02,QOF,202206  ,-,-,-,-,-,-,0.0,39.05,0,-,-,-,-,,一般,,
2021/08/03,QOF,202108  ,-,-,-,-,-,-,0.0,38.4,1,37.5,42.65,38.8,38.8,,一般,,
2021/08/03,QOF,202109  ,-,-,-,-,-,-,0.0,38.35,0,37.35,-,-,-,,一般,,
2021/08/03,QOF,202112  ,-,-,-,-,-,-,0.0,38.5,0,37.05,42.7,-,-,,一般,,
2021/08/03,QOF,202203  ,-,-,-,-,-,-,0.0,38.55,0,36.8,-,-,-,,一般,,
2021/08/03,QOF,202206  ,-,-,-,-,-,-,0.0,38.65,0,-,-,-,-,,一般,,
2021/08/04,QOF,202108  ,-,-,-,-,-,-,0.0,38.45,1,38.5,-,38.8,38.8,,一般,,
2021/08/04,QOF,202109  ,-,-,-,-,-,-,0.0,38.4,0,38.35,-,-,-,,一般,,
2021/08/04,QOF,202112  ,-,-,-,-,-,-,0.0,38.55,0,38.05,-,-,-,,一般,,
2021/08/04,QOF,202203  ,-,-,-,-,-,-,0.0,38.6,0,-,-,-,-,,一般,,
2021/08/04,QOF,202206  ,-,-,-,-,-,-,0.0,38.7,0,-,-,-,-,,一般,,
2021/08/05,QOF,202108  ,38.55,38.55,38.5,38.5,0.05,0.13%,3.0,38.5,4,38.15,-,38.8,38.5,,一般,,
2021/08/05,QOF,202109  ,38.6,38.6,38.6,38.6,0.2,0.52%,2.0,38.45,2,38.2,-,38.6,38.6,,一般,,
2021/08/05,QOF,202112  ,-,-,-,-,-,-,0.0,38.6,0,37.8,-,-,-,,一般,,
