交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2021/08/02,QRF,202108  ,-,-,-,-,-,-,0.0,320.5,0,316,358,-,-,,一般,,
2021/08/02,QRF,202109  ,-,-,-,-,-,-,0.0,320,0,315.5,358.5,-,-,,一般,,
2021/08/02,QRF,202112  ,-,-,-,-,-,-,0.0,320.5,0,313,358.5,-,-,,一般,,
2021/08/02,QRF,202203  ,-,-,-,-,-,-,0.0,319.5,0,306,-,-,-,,一般,,
2021/08/02,QRF,202206  ,-,-,-,-,-,-,0.0,319,0,315,-,-,-,,一般,,
2021/08/03,QRF,202108  ,324,324,324,324,3.5,1.09%,1.0,324,1,321,327.5,324,324,,一般,,
2021/08/03,QRF,202109  ,322,322,322,322,2,0.63%,1.0,323.5,1,320.5,328,322,322,,一般,,
2021/08/03,QRF,202112  ,-,-,-,-,-,-,0.0,324,0,318,328,-,-,,一般,,
2021/08/03,QRF,202203  ,-,-,-,-,-,-,0.0,324.5,0,311,337.5,-,-,,一般,,
2021/08/03,QRF,202206  ,-,-,-,-,-,-,0.0,323.5,0,322,337.5,-,-,,一般,,
2021/08/04,QRF,202108  ,321.5,321.5,321.5,321.5,-2.5,-0.77%,1.0,324,2,320,325.5,324,321.5,,一般,,
2021/08/04,QRF,202109  ,-,-,-,-,-,-,0.0,321,1,319.5,326,322,322,,一般,,
2021/08/04,QRF,202112  ,-,-,-,-,-,-,0.0,324,0,317,326,-,-,,一般,,
2021/08/04,QRF,202203  ,-,-,-,-,-,-,0.0,324.5,0,311,334.5,-,-,,一般,,
2021/08/04,QRF,202206  ,-,-,-,-,-,-,0.0,323.5,0,321,331.5,-,-,,一般,,
2021/08/05,QRF,202108  ,322.5,322.5,322.5,322.5,-1.5,-0.46%,1.0,322.5,3,321,329,324,321.5,,一般,,
2021/08/05,QRF,202109  ,-,-,-,-,-,-,0.0,322.5,1,320.5,329.5,322,322,,一般,,
2021/08/05,QRF,202112  ,-,-,-,-,-,-,0.0,322.5,0,318,329.5,-,-,,一般,,
2021/08/05,QRF,202203  ,-,-,-,-,-,-,0.0,323,0,312,338,-,-,,一般,,
2021/08/05,QRF,202206  ,-,-,-,-,-,-,0.0,322,0,324,338,-,-,,一般,,
2021/08/06,QRF,202108  ,-,-,-,-,-,-,0.0,324,3,319,329.5,324,321.5,,一般,,
2021/08/06,QRF,202109  ,-,-,-,-,-,-,0.0,324.5,1,318.5,330,322,322,,一般,,
2021/08/06,QRF,202112  ,-,-,-,-,-,-,0.0,324,0,316,330,-,-,,一般,,
2021/08/06,QRF,202203  ,-,-,-,-,-,-,0.0,324.5,0,309,339.5,-,-,,一般,,
2021/08/06,QRF,202206  ,-,-,-,-,-,-,0.0,323.5,0,320,339.5,-,-,,一般,,
2021/08/09,QRF,202108  ,-,-,-,-,-,-,0.0,323,3,312,348.5,324,321.5,,一般,,
2021/08/09,QRF,202109  ,-,-,-,-,-,-,0.0,321,1,308.5,349,322,322,,一般,,
2021/08/09,QRF,202112  ,-,-,-,-,-,-,0.0,323,0,306,349,-,-,,一般,,
2021/08/09,QRF,202203  ,-,-,-,-,-,-,0.0,323.5,0,299,-,-,-,,一般,,
2021/08/09,QRF,202206  ,-,-,-,-,-,-,0.0,322.5,0,320,-,-,-,,一般,,
2021/08/10,QRF,202108  ,-,-,-,-,-,-,0.0,321.5,3,319,344.5,324,321.5,,一般,,
2021/08/10,QRF,202109  ,-,-,-,-,-,-,0.0,321.5,1,318.5,345,322,322,,一般,,
2021/08/10,QRF,202112  ,-,-,-,-,-,-,0.0,321.5,0,316,345,-,-,,一般,,
2021/08/10,QRF,202203  ,-,-,-,-,-,-,0.0,322,0,309,354.5,-,-,,一般,,
2021/08/10,QRF,202206  ,-,-,-,-,-,-,0.0,321,0,319,354.5,-,-,,一般,,
2021/08/11,QRF,202108  ,-,-,-,-,-,-,0.0,324.5,3,304.5,339.5,324,321.5,,一般,,
2021/08/11,QRF,202109  ,-,-,-,-,-,-,0.0,324.5,1,305,340,322,322,,一般,,
2021/08/11,QRF,202112  ,-,-,-,-,-,-,0.0,324.5,0,302.5,340,-,-,,一般,,
2021/08/11,QRF,202203  ,-,-,-,-,-,-,0.0,325,0,291,349.5,-,-,,一般,,
2021/08/11,QRF,202206  ,-,-,-,-,-,-,0.0,324,0,291,349.5,-,-,,一般,,
2021/08/12,QRF,202108  ,332.5,332.5,332.5,332.5,8,2.47%,4.0,318.5,7,319,332,332.5,321.5,,一般,,
2021/08/12,QRF,202109  ,333,333,333,333,8.5,2.62%,4.0,319,5,319.5,332.5,333,322,,一般,,
2021/08/12,QRF,202112  ,-,-,-,-,-,-,0.0,318.5,0,317,332.5,-,-,,一般,,
2021/08/12,QRF,202203  ,-,-,-,-,-,-,0.0,319,0,309,338.5,-,-,,一般,,
2021/08/12,QRF,202206  ,-,-,-,-,-,-,0.0,318,0,308.5,337,-,-,,一般,,
2021/08/13,QRF,202108  ,-,-,-,-,-,-,0.0,316,7,316,318,332.5,321.5,,一般,,
2021/08/13,QRF,202109  ,320,320,318,318,-1,-0.31%,6.0,316,11,316.5,318.5,333,318,,一般,,
2021/08/13,QRF,202112  ,-,-,-,-,-,-,0.0,316,0,314,318.5,-,-,,一般,,
2021/08/13,QRF,202203  ,-,-,-,-,-,-,0.0,316.5,0,-,-,-,-,,一般,,
2021/08/13,QRF,202206  ,-,-,-,-,-,-,0.0,315.5,0,-,-,-,-,,一般,,
2021/08/16,QRF,202108  ,318,320,314.5,315,-1,-0.32%,10.0,315,7,313,315,332.5,314.5,,一般,,
2021/08/16,QRF,202109  ,318,320,318,320,4,1.27%,5.0,313,14,313,315,333,318,,一般,,
2021/08/16,QRF,202112  ,-,-,-,-,-,-,0.0,315,0,310,315.5,-,-,,一般,,
2021/08/16,QRF,202203  ,-,-,-,-,-,-,0.0,315.5,0,303,332,-,-,,一般,,
2021/08/16,QRF,202206  ,-,-,-,-,-,-,0.0,314.5,0,303,332,-,-,,一般,,
2021/08/17,QRF,202108  ,321,321,317,320.5,5.5,1.75%,6.0,317,10,316,320.5,332.5,314.5,,一般,,
2021/08/17,QRF,202109  ,321,321,320,320,7,2.24%,3.0,316.5,17,306,320,333,318,,一般,,
2021/08/17,QRF,202112  ,-,-,-,-,-,-,0.0,317,0,306,329.5,-,-,,一般,,
2021/08/17,QRF,202203  ,-,-,-,-,-,-,0.0,317.5,0,306,329.5,-,-,,一般,,
