交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2021/08/02,QSF,202108  ,391.5,391.5,389,391,-7,-1.76%,28.0,392,22,390.5,398,391.5,389,,一般,,
2021/08/02,QSF,202109  ,391,391,391,391,-4.5,-1.14%,5.0,391,5,385.5,409,391,391,,一般,,
2021/08/02,QSF,202112  ,-,-,-,-,-,-,0.0,390.5,0,378.5,410,-,-,,一般,,
2021/08/02,QSF,202203  ,-,-,-,-,-,-,0.0,388,0,378.5,410,-,-,,一般,,
2021/08/02,QSF,202206  ,-,-,-,-,-,-,0.0,390.5,0,378.5,410,-,-,,一般,,
2021/08/03,QSF,202108  ,392,408,392,407.5,15.5,3.95%,281.0,407.5,130,407.5,408,408,389,,一般,,
2021/08/03,QSF,202109  ,404.5,404.5,404.5,404.5,13.5,3.45%,1.0,404.5,6,396.5,419,404.5,391,,一般,,
2021/08/03,QSF,202112  ,-,-,-,-,-,-,0.0,406,0,395.5,420,-,-,,一般,,
2021/08/03,QSF,202203  ,-,-,-,-,-,-,0.0,403.5,0,395.5,420,-,-,,一般,,
2021/08/03,QSF,202206  ,-,-,-,-,-,-,0.0,406,0,395.5,420,-,-,,一般,,
2021/08/04,QSF,202108  ,409,424,397,397.5,-6.5,-1.61%,400.0,397.5,191,397.5,398,424,389,,一般,,
2021/08/04,QSF,202109  ,403,403,400,400,-1,-0.25%,6.0,400,12,385.5,410,404.5,391,,一般,,
2021/08/04,QSF,202112  ,-,-,-,-,-,-,0.0,398,0,384.5,411,-,-,,一般,,
2021/08/04,QSF,202203  ,-,-,-,-,-,-,0.0,393.5,0,384.5,411,-,-,,一般,,
2021/08/04,QSF,202206  ,-,-,-,-,-,-,0.0,398,0,384.5,411,-,-,,一般,,
2021/08/05,QSF,202108  ,399,415.5,394,413,15.5,3.90%,309.0,413.5,224,413,415,424,389,,一般,,
2021/08/05,QSF,202109  ,410,412,410,412,12,3.00%,20.0,412,12,408,427,412,391,,一般,,
2021/08/05,QSF,202112  ,-,-,-,-,-,-,0.0,414,0,400.5,427.5,-,-,,一般,,
2021/08/05,QSF,202203  ,-,-,-,-,-,-,0.0,409.5,0,400.5,427.5,-,-,,一般,,
2021/08/05,QSF,202206  ,-,-,-,-,-,-,0.0,414,0,400.5,427.5,-,-,,一般,,
2021/08/06,QSF,202108  ,411,417,400,416,2.5,0.60%,251.0,415,193,415.5,416.5,424,389,,一般,,
2021/08/06,QSF,202109  ,405,415,405,415,3,0.73%,22.0,415.5,23,405,416,415,391,,一般,,
2021/08/06,QSF,202112  ,-,-,-,-,-,-,0.0,415.5,0,403,429,-,-,,一般,,
2021/08/06,QSF,202203  ,-,-,-,-,-,-,0.0,411,0,403,429,-,-,,一般,,
2021/08/06,QSF,202206  ,-,-,-,-,-,-,0.0,415.5,0,403,429,-,-,,一般,,
2021/08/09,QSF,202108  ,414,425,402.5,402.5,-12.5,-3.01%,258.0,404,185,402,410,425,389,,一般,,
2021/08/09,QSF,202109  ,405,405,405,405,-10.5,-2.53%,1.0,404,24,390,410.5,415,391,,一般,,
2021/08/09,QSF,202112  ,-,-,-,-,-,-,0.0,404.5,0,389.5,422.5,-,-,,一般,,
2021/08/09,QSF,202203  ,-,-,-,-,-,-,0.0,400,0,389.5,422.5,-,-,,一般,,
