交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2021/11/01,QUF,202111  ,-,-,-,-,-,-,0.0,46.7,0,-,-,-,-,,一般,,
2021/11/01,QUF,202112  ,-,-,-,-,-,-,0.0,46.65,0,-,-,-,-,,一般,,
2021/11/01,QUF,202203  ,-,-,-,-,-,-,0.0,46.8,0,-,-,-,-,,一般,,
2021/11/01,QUF,202206  ,-,-,-,-,-,-,0.0,46.85,0,-,-,-,-,,一般,,
2021/11/01,QUF,202209  ,-,-,-,-,-,-,0.0,46.95,0,-,-,-,-,,一般,,
2021/11/02,QUF,202111  ,-,-,-,-,-,-,0.0,45.7,0,-,-,-,-,,一般,,
2021/11/02,QUF,202112  ,-,-,-,-,-,-,0.0,45.65,0,-,-,-,-,,一般,,
2021/11/02,QUF,202203  ,-,-,-,-,-,-,0.0,45.8,0,-,-,-,-,,一般,,
2021/11/02,QUF,202206  ,-,-,-,-,-,-,0.0,45.85,0,-,-,-,-,,一般,,
2021/11/02,QUF,202209  ,-,-,-,-,-,-,0.0,45.95,0,-,-,-,-,,一般,,
2021/11/03,QUF,202111  ,-,-,-,-,-,-,0.0,46.2,0,46.2,-,-,-,,一般,,
2021/11/03,QUF,202112  ,-,-,-,-,-,-,0.0,46.15,0,45.9,-,-,-,,一般,,
2021/11/03,QUF,202203  ,-,-,-,-,-,-,0.0,46.3,0,-,-,-,-,,一般,,
2021/11/03,QUF,202206  ,-,-,-,-,-,-,0.0,46.35,0,-,-,-,-,,一般,,
2021/11/03,QUF,202209  ,-,-,-,-,-,-,0.0,46.45,0,-,-,-,-,,一般,,
2021/11/04,QUF,202111  ,-,-,-,-,-,-,0.0,46.5,0,45.95,-,-,-,,一般,,
2021/11/04,QUF,202112  ,-,-,-,-,-,-,0.0,46.45,0,46,-,-,-,,一般,,
2021/11/04,QUF,202203  ,-,-,-,-,-,-,0.0,46.6,0,-,-,-,-,,一般,,
2021/11/04,QUF,202206  ,-,-,-,-,-,-,0.0,46.65,0,-,-,-,-,,一般,,
2021/11/04,QUF,202209  ,-,-,-,-,-,-,0.0,46.75,0,-,-,-,-,,一般,,
2021/11/05,QUF,202111  ,-,-,-,-,-,-,0.0,46.75,0,-,-,-,-,,一般,,
2021/11/05,QUF,202112  ,-,-,-,-,-,-,0.0,46.7,0,-,-,-,-,,一般,,
2021/11/05,QUF,202203  ,-,-,-,-,-,-,0.0,46.85,0,-,-,-,-,,一般,,
2021/11/05,QUF,202206  ,-,-,-,-,-,-,0.0,46.9,0,-,-,-,-,,一般,,
2021/11/05,QUF,202209  ,-,-,-,-,-,-,0.0,47,0,-,-,-,-,,一般,,
2021/11/08,QUF,202111  ,46.7,46.7,46.65,46.65,-0.1,-0.21%,3.0,46.65,1,46.65,-,46.7,46.65,,一般,,
2021/11/08,QUF,202112  ,-,-,-,-,-,-,0.0,46.6,0,46.35,-,-,-,,一般,,
2021/11/08,QUF,202203  ,-,-,-,-,-,-,0.0,46.75,0,45.15,-,-,-,,一般,,
2021/11/08,QUF,202206  ,-,-,-,-,-,-,0.0,46.8,0,-,-,-,-,,一般,,
