交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2022/04/27,QVF,202205  ,71.4,72.6,71.4,72.6,-2.2,-2.94%,4.0,72.6,1,72.6,-,72.6,71.4,,一般,,
2022/04/27,QVF,202206  ,-,-,-,-,-,-,0.0,72.5,0,72.4,-,-,-,,一般,,
2022/04/27,QVF,202209  ,-,-,-,-,-,-,0.0,72.8,0,70.6,-,-,-,,一般,,
2022/04/27,QVF,202212  ,-,-,-,-,-,-,0.0,73,0,70.4,-,-,-,,一般,,
2022/04/27,QVF,202303  ,-,-,-,-,-,-,0.0,73.1,0,70.3,-,-,-,,一般,,
2022/04/28,QVF,202205  ,72.6,75.5,72.6,74,1.4,1.93%,26.0,74,14,72.1,-,75.5,71.4,,一般,,
2022/04/28,QVF,202206  ,74.2,74.3,74.2,74.3,1.8,2.48%,2.0,74.3,1,71.9,-,74.3,74.2,,一般,,
2022/04/28,QVF,202209  ,-,-,-,-,-,-,0.0,74.2,0,68,-,-,-,,一般,,
2022/04/28,QVF,202212  ,-,-,-,-,-,-,0.0,74.4,0,68,-,-,-,,一般,,
2022/04/28,QVF,202303  ,-,-,-,-,-,-,0.0,74.5,0,67.7,-,-,-,,一般,,
2022/04/29,QVF,202205  ,75,75.5,73.5,73.6,-0.4,-0.54%,10.0,73.6,16,-,75.5,75.5,71.4,,一般,,
2022/04/29,QVF,202206  ,-,-,-,-,-,-,0.0,73.9,1,-,75.5,74.3,74.2,,一般,,
2022/04/29,QVF,202209  ,-,-,-,-,-,-,0.0,73.8,0,-,77.6,-,-,,一般,,
2022/04/29,QVF,202212  ,-,-,-,-,-,-,0.0,74,0,-,77.6,-,-,,一般,,
2022/04/29,QVF,202303  ,-,-,-,-,-,-,0.0,74.1,0,-,77.6,-,-,,一般,,
2022/04/28,QVF,202205/202206    ,-,-,-,-,-,-,0.0,-,-,-0.11,-0.06,-,-,,一般,1.0,
2022/05/03,QVF,202205  ,75.7,76.8,75,75.6,2,2.72%,31.0,75.6,32,75.7,75.8,76.8,71.4,,一般,,
2022/05/03,QVF,202206  ,76.5,76.5,75,75.4,1.5,2.03%,6.0,75.4,4,75.6,75.8,76.5,74.2,,一般,,
2022/05/03,QVF,202209  ,-,-,-,-,-,-,0.0,75.8,0,73.6,77.9,-,-,,一般,,
2022/05/03,QVF,202212  ,-,-,-,-,-,-,0.0,76,0,73.4,77.9,-,-,,一般,,
2022/05/03,QVF,202303  ,-,-,-,-,-,-,0.0,76.1,0,73.4,77.9,-,-,,一般,,
2022/05/04,QVF,202205  ,75.9,76.4,75.9,76,0.4,0.53%,7.0,76,31,75.7,76.1,76.8,71.4,,一般,,
2022/05/04,QVF,202206  ,75.9,76.2,75.8,75.9,0.5,0.66%,6.0,75.9,6,75.7,76.1,76.5,74.2,,一般,,
2022/05/04,QVF,202209  ,-,-,-,-,-,-,0.0,76.2,0,73.6,78.2,-,-,,一般,,
2022/05/04,QVF,202212  ,-,-,-,-,-,-,0.0,76.4,0,73.4,78.2,-,-,,一般,,
2022/05/04,QVF,202303  ,-,-,-,-,-,-,0.0,76.5,0,73.4,78.2,-,-,,一般,,
2022/05/05,QVF,202205  ,77.6,78,77.1,77.4,1.4,1.84%,42.0,77.4,29,77.1,77.4,78,71.4,,一般,,
