交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2022/04/27,QWF,202205  ,-,-,-,-,-,-,0.0,49.85,0,-,-,-,-,,一般,,
2022/04/27,QWF,202206  ,-,-,-,-,-,-,0.0,49.85,0,-,-,-,-,,一般,,
2022/04/27,QWF,202209  ,-,-,-,-,-,-,0.0,50.1,0,-,-,-,-,,一般,,
2022/04/27,QWF,202212  ,-,-,-,-,-,-,0.0,50.2,0,-,-,-,-,,一般,,
2022/04/27,QWF,202303  ,-,-,-,-,-,-,0.0,50.4,0,-,-,-,-,,一般,,
2022/04/28,QWF,202205  ,-,-,-,-,-,-,0.0,50.1,0,49.95,-,-,-,,一般,,
2022/04/28,QWF,202206  ,-,-,-,-,-,-,0.0,50.1,0,49.8,-,-,-,,一般,,
2022/04/28,QWF,202209  ,-,-,-,-,-,-,0.0,50.4,0,-,-,-,-,,一般,,
2022/04/28,QWF,202212  ,-,-,-,-,-,-,0.0,50.5,0,-,-,-,-,,一般,,
2022/04/28,QWF,202303  ,-,-,-,-,-,-,0.0,50.7,0,-,-,-,-,,一般,,
2022/04/29,QWF,202205  ,53.3,53.3,49.4,49.4,-0.7,-1.40%,5.0,49.4,2,-,-,53.3,49.4,,一般,,
2022/04/29,QWF,202206  ,-,-,-,-,-,-,0.0,49.4,0,-,-,-,-,,一般,,
2022/04/29,QWF,202209  ,-,-,-,-,-,-,0.0,49.7,0,-,-,-,-,,一般,,
2022/04/29,QWF,202212  ,-,-,-,-,-,-,0.0,49.8,0,-,-,-,-,,一般,,
2022/04/29,QWF,202303  ,-,-,-,-,-,-,0.0,50,0,-,-,-,-,,一般,,
2022/05/03,QWF,202205  ,-,-,-,-,-,-,0.0,50,2,-,52.4,53.3,49.4,,一般,,
2022/05/03,QWF,202206  ,-,-,-,-,-,-,0.0,50,0,-,52.5,-,-,,一般,,
2022/05/03,QWF,202209  ,-,-,-,-,-,-,0.0,50.3,0,-,53.1,-,-,,一般,,
2022/05/03,QWF,202212  ,-,-,-,-,-,-,0.0,50.4,0,-,53,-,-,,一般,,
2022/05/03,QWF,202303  ,-,-,-,-,-,-,0.0,50.6,0,-,53,-,-,,一般,,
2022/05/04,QWF,202205  ,-,-,-,-,-,-,0.0,50,2,45.95,50,53.3,49.4,,一般,,
2022/05/04,QWF,202206  ,-,-,-,-,-,-,0.0,50,0,45.95,50.1,-,-,,一般,,
2022/05/04,QWF,202209  ,-,-,-,-,-,-,0.0,50.3,0,-,50.8,-,-,,一般,,
