交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2022/08/03,QY1,202208  ,127.5,139.5,127,139.5,12.5,9.84%,446.0,138.5,205,135.5,139.5,213.5,127,,一般,,
2022/08/03,QY1,202209  ,139,139.5,139,139,12,9.45%,31.0,137.5,12,134,139,208.5,139,,一般,,
2022/08/03,QY1,202212  ,-,-,-,-,-,-,0.0,138,3,120,-,200,187.5,,一般,,
2022/08/04,QY1,202208  ,138,143,138,139,0.5,0.36%,27.0,140,205,129.5,142.5,213.5,127,,一般,,
2022/08/04,QY1,202209  ,137.5,-,-,137.5,0,0.00%,10.0,141.5,12,128,142,208.5,139,,一般,,
2022/08/04,QY1,202212  ,-,-,-,-,-,-,0.0,139.5,3,-,-,200,187.5,,一般,,
2022/08/05,QY1,202208  ,137.5,140.5,137.5,140.5,0.5,0.36%,5.0,142.5,206,139,142.5,213.5,127,,一般,,
2022/08/05,QY1,202209  ,-,-,-,-,-,-,0.0,141,12,137.5,141,208.5,139,,一般,,
2022/08/05,QY1,202212  ,-,-,-,-,-,-,0.0,142,3,-,-,200,187.5,,一般,,
2022/08/08,QY1,202208  ,139,139,139,139,-3.5,-2.46%,1.0,139,206,137.5,-,213.5,127,,一般,,
2022/08/08,QY1,202209  ,-,-,-,-,-,-,0.0,138,12,135.5,-,208.5,139,,一般,,
2022/08/08,QY1,202212  ,-,-,-,-,-,-,0.0,138.5,3,-,-,200,187.5,,一般,,
2022/08/09,QY1,202208  ,-,-,-,-,-,-,0.0,139.5,206,138.5,-,213.5,127,,一般,,
2022/08/09,QY1,202209  ,-,-,-,-,-,-,0.0,138.5,12,136.5,-,208.5,139,,一般,,
2022/08/09,QY1,202212  ,-,-,-,-,-,-,0.0,139,3,-,-,200,187.5,,一般,,
2022/08/10,QY1,202208  ,137,137,131,131,-8.5,-6.09%,2.0,132.5,206,131,133.5,213.5,127,,一般,,
2022/08/10,QY1,202209  ,-,-,-,-,-,-,0.0,131.5,12,129.5,132.5,208.5,139,,一般,,
2022/08/10,QY1,202212  ,-,-,-,-,-,-,0.0,132,3,-,-,200,187.5,,一般,,
2022/08/11,QY1,202208  ,-,-,-,-,-,-,0.0,133,206,132.5,136.5,213.5,127,,一般,,
2022/08/11,QY1,202209  ,136,136,136,136,4.5,3.42%,1.0,133,12,130.5,134.5,208.5,136,,一般,,
2022/08/11,QY1,202212  ,134,134,134,134,2,1.52%,1.0,134,2,133,-,200,134,,一般,,
2022/08/12,QY1,202208  ,132.5,132.5,132.5,132.5,-0.5,-0.38%,3.0,132,203,131.5,133.5,213.5,127,,一般,,
2022/08/12,QY1,202209  ,-,-,-,-,-,-,0.0,131,12,128.5,133,208.5,136,,一般,,
2022/08/12,QY1,202212  ,132.5,132.5,132.5,132.5,-1.5,-1.12%,1.0,132.5,1,-,-,200,132.5,,一般,,
2022/08/15,QY1,202208  ,129,129,129,129,-3,-2.27%,2.0,132,203,-,-,213.5,127,,一般,,
2022/08/15,QY1,202209  ,-,-,-,-,-,-,0.0,131,12,-,-,208.5,136,,一般,,
2022/08/15,QY1,202212  ,128,128,128,128,-4.5,-3.40%,1.0,132.5,1,-,-,200,128,,一般,,
2022/08/16,QY1,202208  ,132,-,-,132,0,0.00%,2.0,133,203,133.5,-,213.5,127,,一般,,
2022/08/16,QY1,202209  ,131,-,-,131,0,0.00%,2.0,132.5,12,129,133.5,208.5,136,,一般,,
2022/08/16,QY1,202212  ,-,-,-,-,-,-,0.0,133.5,1,-,-,200,128,,一般,,
2022/08/17,QY1,202208  ,135.5,137.5,135.5,137.5,4.5,3.38%,3.0,0,204,137.5,138,213.5,127,,一般,,
2022/08/17,QY1,202209  ,133,133,133,133,0.5,0.38%,1.0,134,12,132.5,-,208.5,133,,一般,,
2022/08/17,QY1,202212  ,-,-,-,-,-,-,0.0,135,1,-,-,200,128,,一般,,
2022/08/18,QY1,202209  ,-,-,-,-,-,-,0.0,134,12,131,134.5,208.5,133,,一般,,
2022/08/18,QY1,202212  ,-,-,-,-,-,-,0.0,135,1,-,134.5,200,128,,一般,,
2022/08/19,QY1,202209  ,-,-,-,-,-,-,0.0,131.5,12,122.5,133.5,208.5,133,,一般,,
2022/08/19,QY1,202212  ,-,-,-,-,-,-,0.0,132.5,1,-,133.5,200,128,,一般,,
2022/08/22,QY1,202209  ,-,-,-,-,-,-,0.0,130.5,12,-,132.5,208.5,133,,一般,,
2022/08/22,QY1,202212  ,-,-,-,-,-,-,0.0,131.5,1,-,-,200,128,,一般,,
2022/08/23,QY1,202209  ,-,-,-,-,-,-,0.0,128,12,-,-,208.5,133,,一般,,
2022/08/23,QY1,202212  ,-,-,-,-,-,-,0.0,129,1,-,-,200,128,,一般,,
2022/08/24,QY1,202209  ,-,-,-,-,-,-,0.0,134,12,-,-,208.5,133,,一般,,
2022/08/24,QY1,202212  ,-,-,-,-,-,-,0.0,132.5,1,-,-,200,128,,一般,,
2022/08/25,QY1,202209  ,-,-,-,-,-,-,0.0,131.5,12,123.5,132,208.5,133,,一般,,
2022/08/25,QY1,202212  ,-,-,-,-,-,-,0.0,130,1,-,131.5,200,128,,一般,,
2022/08/26,QY1,202209  ,-,-,-,-,-,-,0.0,132,12,-,-,208.5,133,,一般,,
2022/08/26,QY1,202212  ,-,-,-,-,-,-,0.0,131,1,-,-,200,128,,一般,,
2022/08/29,QY1,202209  ,-,-,-,-,-,-,0.0,133,12,-,-,208.5,133,,一般,,
2022/08/29,QY1,202212  ,-,-,-,-,-,-,0.0,132,1,-,-,200,128,,一般,,
2022/08/30,QY1,202209  ,-,-,-,-,-,-,0.0,133.5,12,-,-,208.5,133,,一般,,
2022/08/30,QY1,202212  ,-,-,-,-,-,-,0.0,132.5,1,119,-,200,128,,一般,,
2022/08/31,QY1,202209  ,-,-,-,-,-,-,0.0,146.5,12,146,-,208.5,133,,一般,,
2022/08/31,QY1,202212  ,-,-,-,-,-,-,0.0,145.5,1,145.5,-,200,128,,一般,,
2022/08/03,QY1,202208/202209    ,-0.91,-0.75,-0.99,-0.86,-,-,26.0,-,-,-1.01,-0.66,-0.75,-0.99,,一般,3.0,
2022/08/04,QY1,202208/202209    ,-0.9,-0.9,-1.01,-1.01,-,-,10.0,-,-,-1.01,-0.81,-0.75,-1.01,,一般,0.0,
2022/08/16,QY1,202208/202209    ,-1.51,-1.51,-1.51,-1.51,-,-,2.0,-,-,-,-1.55,-0.75,-1.51,,一般,0.0,
2022/09/01,QY1,202209  ,145,145,145,145,-1.5,-1.02%,1.0,136.5,13,133,137.5,208.5,133,,一般,,
2022/09/01,QY1,202212  ,-,-,-,-,-,-,0.0,135.5,1,-,-,200,128,,一般,,
2022/09/02,QY1,202209  ,-,-,-,-,-,-,0.0,136.5,13,-,139,208.5,133,,一般,,
2022/09/02,QY1,202212  ,-,-,-,-,-,-,0.0,135.5,1,-,-,200,128,,一般,,
2022/09/05,QY1,202209  ,-,-,-,-,-,-,0.0,136,13,-,140,208.5,133,,一般,,
2022/09/05,QY1,202212  ,-,-,-,-,-,-,0.0,135,1,-,-,200,128,,一般,,
2022/09/06,QY1,202209  ,132,132,132,132,-4,-2.94%,1.0,132,13,-,134.5,208.5,132,,一般,,
2022/09/06,QY1,202212  ,-,-,-,-,-,-,0.0,131,1,-,-,200,128,,一般,,
2022/09/07,QY1,202209  ,-,-,-,-,-,-,0.0,129,13,126.5,130.5,208.5,132,,一般,,
2022/09/07,QY1,202212  ,-,-,-,-,-,-,0.0,128,1,-,130,200,128,,一般,,
2022/09/08,QY1,202209  ,-,-,-,-,-,-,0.0,131,13,-,131.5,208.5,132,,一般,,
2022/09/08,QY1,202212  ,-,-,-,-,-,-,0.0,130,1,-,-,200,128,,一般,,
2022/09/12,QY1,202209  ,127.5,127.5,127.5,127.5,-3.5,-2.67%,1.0,127.5,12,126,-,208.5,127.5,,一般,,
2022/09/12,QY1,202212  ,-,-,-,-,-,-,0.0,127,1,-,-,200,128,,一般,,
2022/09/13,QY1,202209  ,-,-,-,-,-,-,0.0,120,12,-,123.5,208.5,127.5,,一般,,
2022/09/13,QY1,202212  ,-,-,-,-,-,-,0.0,119.5,1,-,123,200,128,,一般,,
