交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/7/20,RHF,201508,6.229,6.229,6.22,6.2266,-0.0007,-0.01%,219,6.2266,39,6.227,6.2273,6.229,6.22,,
2015/7/20,RHF,201509,6.2391,6.2408,6.2368,6.2395,0.0004,0.01%,124,6.2395,33,6.2395,6.2403,6.2408,6.2368,,
2015/7/20,RHF,201512,6.2811,6.283,6.2796,6.2819,0.0008,0.01%,195,6.2819,34,6.2827,6.2831,6.283,6.2796,,
2015/7/20,RHF,201603,6.3236,6.326,6.3217,6.3252,0.0016,0.03%,229,6.3244,48,6.3242,6.3262,6.326,6.3217,,
2015/7/20,RHF,201606,6.3631,6.3685,6.3626,6.3675,0.0016,0.03%,176,6.3675,35,6.3665,6.3688,6.3685,6.3626,,
2015/7/20,RHF,201609,6.4092,6.414,6.4071,6.4116,0.0024,0.04%,173,6.4116,46,6.4115,6.4126,6.414,6.4071,,
2015/7/21,RHF,201508,6.2273,6.2284,6.2242,6.225,-0.0016,-0.03%,245,6.225,27,6.2251,6.2252,6.229,6.22,,
2015/7/21,RHF,201509,6.2405,6.242,6.2362,6.2378,-0.0017,-0.03%,719,6.2378,19,6.2373,6.2379,6.242,6.2362,,
2015/7/21,RHF,201512,6.2829,6.2843,6.2788,6.2789,-0.003,-0.05%,395,6.2789,80,6.2769,6.2792,6.2843,6.2788,,
2015/7/21,RHF,201603,6.326,6.3282,6.3217,6.3227,-0.0017,-0.03%,335,6.3227,81,6.3229,6.3235,6.3282,6.3217,,
2015/7/21,RHF,201606,6.3695,6.3715,6.3647,6.3647,-0.0028,-0.04%,229,6.3647,55,6.3643,6.3651,6.3715,6.3626,,
2015/7/21,RHF,201609,6.4145,6.4176,6.4097,6.4097,-0.0019,-0.03%,347,6.4097,76,6.4089,6.4097,6.4176,6.4071,,
2015/7/22,RHF,201508,6.2208,6.2246,6.1666,6.2233,-0.0017,-0.03%,280,6.2233,93,6.223,6.2237,6.229,6.1666,,
2015/7/22,RHF,201509,6.2326,6.2364,6.2326,6.2357,-0.0021,-0.03%,171,6.2357,58,6.2353,6.2361,6.242,6.2326,,
2015/7/22,RHF,201512,6.275,6.2776,6.2744,6.2752,-0.0037,-0.06%,74,6.2752,28,6.276,6.2767,6.2843,6.2744,,
2015/7/22,RHF,201603,6.3166,6.3188,6.3152,6.3163,-0.0064,-0.10%,94,6.3163,112,6.3162,6.3173,6.3282,6.3152,,
2015/7/22,RHF,201606,6.3599,6.3607,6.357,6.357,-0.0077,-0.12%,36,6.357,35,6.3575,6.3592,6.3715,6.357,,
2015/7/22,RHF,201609,6.4034,6.4043,6.3992,6.401,-0.0087,-0.14%,52,6.401,74,6.4009,6.4026,6.4176,6.3992,,
2015/7/23,RHF,201508,6.224,6.2278,6.2232,6.2256,0.0023,0.04%,151,6.2256,72,6.2205,6.2264,6.229,6.1666,,
