交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2023/09/07,RO1,202309  ,101.5,104.5,101,102.5,2,1.99%,21.0,102.5,104,102,103,119.5,100,,一般,,
2023/09/07,RO1,202310  ,-,-,-,-,-,-,0.0,103,2,-,103.5,110.5,108,,一般,,
2023/09/07,RO1,202312  ,-,-,-,-,-,-,0.0,102.5,2,-,-,115.5,113.5,,一般,,
2023/09/07,RO1,202403  ,-,-,-,-,-,-,0.0,102.5,2,-,-,115.5,107.5,,一般,,
2023/09/07,RO1,202406  ,-,-,-,-,-,-,0.0,102.5,2,-,-,112.5,111.5,,一般,,
2023/09/08,RO1,202309  ,102,102,102,102,-0.5,-0.49%,1.0,102,103,100,102.5,119.5,100,,一般,,
2023/09/08,RO1,202310  ,-,-,-,-,-,-,0.0,102.5,2,99.9,102.5,110.5,108,,一般,,
2023/09/08,RO1,202312  ,-,-,-,-,-,-,0.0,102,2,100,-,115.5,113.5,,一般,,
2023/09/08,RO1,202403  ,-,-,-,-,-,-,0.0,102,2,-,-,115.5,107.5,,一般,,
2023/09/08,RO1,202406  ,-,-,-,-,-,-,0.0,102,2,-,-,112.5,111.5,,一般,,
2023/09/11,RO1,202309  ,98.9,98.9,95.6,95.6,-6.4,-6.27%,8.0,95.6,100,91.9,95.7,119.5,95.6,,一般,,
2023/09/11,RO1,202310  ,96.6,96.6,96.6,96.6,-5.9,-5.76%,1.0,96.1,3,-,96,110.5,96.6,,一般,,
2023/09/11,RO1,202312  ,-,-,-,-,-,-,0.0,95.6,2,-,-,115.5,113.5,,一般,,
2023/09/11,RO1,202403  ,-,-,-,-,-,-,0.0,95.6,2,-,-,115.5,107.5,,一般,,
2023/09/11,RO1,202406  ,-,-,-,-,-,-,0.0,95.6,2,-,-,112.5,111.5,,一般,,
2023/09/12,RO1,202309  ,96,96.1,92.9,93,-2.6,-2.72%,7.0,93,93,90.2,93,119.5,92.9,,一般,,
2023/09/12,RO1,202310  ,-,-,-,-,-,-,0.0,93,3,90.3,93.3,110.5,96.6,,一般,,
2023/09/12,RO1,202312  ,-,-,-,-,-,-,0.0,93,2,-,-,115.5,113.5,,一般,,
2023/09/12,RO1,202403  ,-,-,-,-,-,-,0.0,93,2,-,-,115.5,107.5,,一般,,
2023/09/12,RO1,202406  ,-,-,-,-,-,-,0.0,93,2,-,-,112.5,111.5,,一般,,
2023/09/13,RO1,202309  ,92.9,94,92.9,94,1,1.08%,2.0,94,91,-,94.2,119.5,92.9,,一般,,
2023/09/13,RO1,202310  ,-,-,-,-,-,-,0.0,94,3,-,94.5,110.5,96.6,,一般,,
2023/09/13,RO1,202312  ,-,-,-,-,-,-,0.0,94,2,-,-,115.5,113.5,,一般,,
2023/09/13,RO1,202403  ,-,-,-,-,-,-,0.0,94,2,-,-,115.5,107.5,,一般,,
2023/09/13,RO1,202406  ,-,-,-,-,-,-,0.0,94,2,-,-,112.5,111.5,,一般,,
2023/09/14,RO1,202309  ,96.4,100,96.2,100,6,6.38%,11.0,100,84,-,100,119.5,92.9,,一般,,
2023/09/14,RO1,202310  ,96.7,96.7,96.5,96.5,2.5,2.66%,6.0,100,3,-,100.5,110.5,96.5,,一般,,
2023/09/14,RO1,202312  ,-,-,-,-,-,-,0.0,100,2,-,-,115.5,113.5,,一般,,
2023/09/14,RO1,202403  ,-,-,-,-,-,-,0.0,100,2,-,-,115.5,107.5,,一般,,
