交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2023/05/04,RPF,202305  ,-,-,-,-,-,-,0.0,576,0,-,-,-,-,,一般,,
2023/05/04,RPF,202306  ,-,-,-,-,-,-,0.0,577,0,-,-,-,-,,一般,,
2023/05/04,RPF,202309  ,-,-,-,-,-,-,0.0,580,0,-,-,-,-,,一般,,
2023/05/04,RPF,202312  ,-,-,-,-,-,-,0.0,582,0,-,-,-,-,,一般,,
2023/05/04,RPF,202403  ,-,-,-,-,-,-,0.0,585,0,-,-,-,-,,一般,,
2023/05/05,RPF,202305  ,-,-,-,-,-,-,0.0,567,0,-,-,-,-,,一般,,
2023/05/05,RPF,202306  ,-,-,-,-,-,-,0.0,568,0,-,-,-,-,,一般,,
2023/05/05,RPF,202309  ,-,-,-,-,-,-,0.0,571,0,-,-,-,-,,一般,,
2023/05/05,RPF,202312  ,-,-,-,-,-,-,0.0,573,0,-,-,-,-,,一般,,
2023/05/05,RPF,202403  ,-,-,-,-,-,-,0.0,576,0,-,-,-,-,,一般,,
2023/05/08,RPF,202305  ,-,-,-,-,-,-,0.0,565,0,511,-,-,-,,一般,,
2023/05/08,RPF,202306  ,-,-,-,-,-,-,0.0,566,0,-,-,-,-,,一般,,
2023/05/08,RPF,202309  ,-,-,-,-,-,-,0.0,569,0,-,-,-,-,,一般,,
2023/05/08,RPF,202312  ,-,-,-,-,-,-,0.0,571,0,-,-,-,-,,一般,,
2023/05/08,RPF,202403  ,-,-,-,-,-,-,0.0,574,0,-,-,-,-,,一般,,
2023/05/09,RPF,202305  ,-,-,-,-,-,-,0.0,574,0,-,-,-,-,,一般,,
2023/05/09,RPF,202306  ,-,-,-,-,-,-,0.0,575,0,-,-,-,-,,一般,,
2023/05/09,RPF,202309  ,-,-,-,-,-,-,0.0,578,0,-,-,-,-,,一般,,
2023/05/09,RPF,202312  ,-,-,-,-,-,-,0.0,580,0,-,-,-,-,,一般,,
2023/05/09,RPF,202403  ,-,-,-,-,-,-,0.0,583,0,-,-,-,-,,一般,,
2023/05/10,RPF,202305  ,-,-,-,-,-,-,0.0,568,0,-,-,-,-,,一般,,
2023/05/10,RPF,202306  ,-,-,-,-,-,-,0.0,569,0,-,-,-,-,,一般,,
2023/05/10,RPF,202309  ,-,-,-,-,-,-,0.0,572,0,-,-,-,-,,一般,,
2023/05/10,RPF,202312  ,-,-,-,-,-,-,0.0,574,0,-,-,-,-,,一般,,
2023/05/10,RPF,202403  ,-,-,-,-,-,-,0.0,577,0,-,-,-,-,,一般,,
