交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2023/05/04,RQF,202305  ,759,763,759,762,-42,-5.22%,4.0,762,4,759,787,763,759,,一般,,
2023/05/04,RQF,202306  ,-,-,-,-,-,-,0.0,764,0,756,788,-,-,,一般,,
2023/05/04,RQF,202309  ,-,-,-,-,-,-,0.0,768,0,734,812,-,-,,一般,,
2023/05/04,RQF,202312  ,-,-,-,-,-,-,0.0,772,0,734,812,-,-,,一般,,
2023/05/04,RQF,202403  ,-,-,-,-,-,-,0.0,776,0,-,812,-,-,,一般,,
2023/05/05,RQF,202305  ,743,743,731,731,-31,-4.07%,9.0,731,12,721,731,763,731,,一般,,
2023/05/05,RQF,202306  ,-,-,-,-,-,-,0.0,733,0,723,733,-,-,,一般,,
2023/05/05,RQF,202309  ,-,-,-,-,-,-,0.0,737,0,-,755,-,-,,一般,,
2023/05/05,RQF,202312  ,-,-,-,-,-,-,0.0,741,0,-,755,-,-,,一般,,
2023/05/05,RQF,202403  ,-,-,-,-,-,-,0.0,745,0,-,755,-,-,,一般,,
2023/05/08,RQF,202305  ,738,743,738,739,8,1.09%,8.0,739,12,732,746,763,731,,一般,,
2023/05/08,RQF,202306  ,-,-,-,-,-,-,0.0,741,0,729,745,-,-,,一般,,
2023/05/08,RQF,202309  ,-,-,-,-,-,-,0.0,745,0,708,770,-,-,,一般,,
2023/05/08,RQF,202312  ,-,-,-,-,-,-,0.0,749,0,708,770,-,-,,一般,,
2023/05/08,RQF,202403  ,-,-,-,-,-,-,0.0,751,0,708,770,-,-,,一般,,
2023/05/09,RQF,202305  ,-,-,-,-,-,-,0.0,736,12,735,-,763,731,,一般,,
2023/05/09,RQF,202306  ,-,-,-,-,-,-,0.0,738,0,732,-,-,-,,一般,,
2023/05/09,RQF,202309  ,-,-,-,-,-,-,0.0,742,0,711,-,-,-,,一般,,
2023/05/09,RQF,202312  ,-,-,-,-,-,-,0.0,746,0,711,-,-,-,,一般,,
2023/05/09,RQF,202403  ,-,-,-,-,-,-,0.0,748,0,711,-,-,-,,一般,,
2023/05/10,RQF,202305  ,724,730,724,730,-6,-0.82%,7.0,730,14,724,-,763,724,,一般,,
2023/05/10,RQF,202306  ,-,-,-,-,-,-,0.0,732,0,721,-,-,-,,一般,,
2023/05/10,RQF,202309  ,-,-,-,-,-,-,0.0,736,0,700,-,-,-,,一般,,
2023/05/10,RQF,202312  ,-,-,-,-,-,-,0.0,740,0,700,-,-,-,,一般,,
2023/05/10,RQF,202403  ,-,-,-,-,-,-,0.0,742,0,700,-,-,-,,一般,,
2023/05/11,RQF,202305  ,722,723,716,720,-10,-1.37%,11.0,720,15,716,-,763,716,,一般,,
2023/05/11,RQF,202306  ,-,-,-,-,-,-,0.0,722,0,692,-,-,-,,一般,,
2023/05/11,RQF,202309  ,-,-,-,-,-,-,0.0,726,0,692,-,-,-,,一般,,
2023/05/11,RQF,202312  ,-,-,-,-,-,-,0.0,730,0,692,-,-,-,,一般,,
2023/05/11,RQF,202403  ,-,-,-,-,-,-,0.0,732,0,692,-,-,-,,一般,,
2023/05/12,RQF,202305  ,730,730,723,723,3,0.42%,7.0,722,16,720,735,763,716,,一般,,
2023/05/12,RQF,202306  ,-,-,-,-,-,-,0.0,724,0,718,759,-,-,,一般,,
2023/05/12,RQF,202309  ,-,-,-,-,-,-,0.0,728,0,696,759,-,-,,一般,,
2023/05/12,RQF,202312  ,-,-,-,-,-,-,0.0,728,0,696,759,-,-,,一般,,
2023/05/12,RQF,202403  ,-,-,-,-,-,-,0.0,728,0,696,759,-,-,,一般,,
