交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2023/08/01,RUF,202308  ,162,163.5,152.5,156.5,-4.5,-2.80%,178.0,156.5,156,156,157,163.5,152.5,,一般,,
2023/08/01,RUF,202309  ,161,161,154,156.5,-4.5,-2.80%,16.0,156.5,14,156,157,161,154,,一般,,
2023/08/01,RUF,202312  ,-,-,-,-,-,-,0.0,157.5,0,-,-,-,-,,一般,,
2023/08/01,RUF,202403  ,-,-,-,-,-,-,0.0,158,0,-,-,-,-,,一般,,
2023/08/01,RUF,202406  ,-,-,-,-,-,-,0.0,159,0,-,-,-,-,,一般,,
2023/08/02,RUF,202308  ,156.5,161.5,150.5,151.5,-5,-3.19%,334.0,151.5,295,151.5,152.5,163.5,150.5,,一般,,
2023/08/02,RUF,202309  ,156,159,151,152.5,-4,-2.56%,53.0,152.5,43,151.5,153,161,151,,一般,,
2023/08/02,RUF,202312  ,-,-,-,-,-,-,0.0,152.5,0,-,-,-,-,,一般,,
2023/08/02,RUF,202403  ,-,-,-,-,-,-,0.0,153,0,-,-,-,-,,一般,,
2023/08/02,RUF,202406  ,-,-,-,-,-,-,0.0,154,0,-,-,-,-,,一般,,
2023/08/04,RUF,202308  ,150.5,154.5,150,154.5,3,1.98%,86.0,154.5,328,154,155,163.5,150,,一般,,
2023/08/04,RUF,202309  ,150.5,154,150.5,154,1.5,0.98%,22.0,154,59,154,155,161,150.5,,一般,,
2023/08/04,RUF,202312  ,-,-,-,-,-,-,0.0,154,0,149.5,162,-,-,,一般,,
2023/08/04,RUF,202403  ,-,-,-,-,-,-,0.0,154.5,0,149,162,-,-,,一般,,
2023/08/04,RUF,202406  ,-,-,-,-,-,-,0.0,155.5,0,149,162,-,-,,一般,,
2023/08/07,RUF,202308  ,153,154.5,152,153.5,-1,-0.65%,82.0,153.5,333,153.5,154,163.5,150,,一般,,
2023/08/07,RUF,202309  ,153,154,152,153,-1,-0.65%,41.0,153,82,153.5,154.5,161,150.5,,一般,,
2023/08/07,RUF,202312  ,-,-,-,-,-,-,0.0,153,0,148.5,159,-,-,,一般,,
2023/08/07,RUF,202403  ,-,-,-,-,-,-,0.0,153.5,0,148.5,159,-,-,,一般,,
2023/08/07,RUF,202406  ,-,-,-,-,-,-,0.0,154.5,0,148.5,159,-,-,,一般,,
2023/08/08,RUF,202308  ,156,161.5,156,158.5,5,3.26%,339.0,158.5,374,158,158.5,163.5,150,,一般,,
2023/08/08,RUF,202309  ,157,161,156.5,158,5,3.27%,80.0,158,114,157.5,158.5,161,150.5,,一般,,
2023/08/08,RUF,202312  ,-,-,-,-,-,-,0.0,158,0,153,163.5,-,-,,一般,,
2023/08/08,RUF,202403  ,-,-,-,-,-,-,0.0,158.5,0,153,163.5,-,-,,一般,,
2023/08/08,RUF,202406  ,-,-,-,-,-,-,0.0,159.5,0,153,164,-,-,,一般,,
2023/08/09,RUF,202308  ,159,159,151.5,152,-6.5,-4.10%,199.0,152,421,151.5,153,163.5,150,,一般,,
2023/08/09,RUF,202309  ,156.5,158.5,151.5,152,-6,-3.80%,67.0,152,123,151.5,153,161,150.5,,一般,,
2023/08/09,RUF,202312  ,-,-,-,-,-,-,0.0,151.5,0,146.5,158,-,-,,一般,,
2023/08/09,RUF,202403  ,-,-,-,-,-,-,0.0,152,0,146.5,158,-,-,,一般,,
2023/08/09,RUF,202406  ,-,-,-,-,-,-,0.0,153,0,146.5,158,-,-,,一般,,
2023/08/10,RUF,202308  ,151,151,143.5,144.5,-7.5,-4.93%,281.0,144.5,372,144,144.5,163.5,143.5,,一般,,
2023/08/10,RUF,202309  ,150.5,150.5,143.5,144.5,-7.5,-4.93%,101.0,144.5,152,143.5,144.5,161,143.5,,一般,,
2023/08/10,RUF,202312  ,-,-,-,-,-,-,0.0,144,0,139.5,149,-,-,,一般,,
2023/08/10,RUF,202403  ,-,-,-,-,-,-,0.0,144.5,0,139,149,-,-,,一般,,
2023/08/10,RUF,202406  ,-,-,-,-,-,-,0.0,145.5,0,139,149,-,-,,一般,,
2023/08/11,RUF,202308  ,146.5,148,141,142.5,-2,-1.38%,161.0,142.5,346,142.5,143.5,163.5,141,,一般,,
2023/08/11,RUF,202309  ,146.5,147.5,141,142.5,-2,-1.38%,110.0,142.5,200,142,143,161,141,,一般,,
2023/08/11,RUF,202312  ,-,-,-,-,-,-,0.0,142,0,138,148,-,-,,一般,,
2023/08/11,RUF,202403  ,-,-,-,-,-,-,0.0,142.5,0,138,148,-,-,,一般,,
2023/08/11,RUF,202406  ,-,-,-,-,-,-,0.0,143.5,0,138,148,-,-,,一般,,
2023/08/14,RUF,202308  ,141.5,141.5,135,139,-3.5,-2.46%,224.0,139,257,139,139.5,163.5,135,,一般,,
2023/08/14,RUF,202309  ,141,141,134.5,137.5,-5,-3.51%,217.0,139,272,138.5,139.5,161,134.5,,一般,,
2023/08/14,RUF,202312  ,-,-,-,-,-,-,0.0,138.5,0,134.5,144,-,-,,一般,,
2023/08/14,RUF,202403  ,-,-,-,-,-,-,0.0,139,0,134.5,144,-,-,,一般,,
2023/08/14,RUF,202406  ,-,-,-,-,-,-,0.0,140,0,134.5,143.5,-,-,,一般,,
2023/08/15,RUF,202308  ,142,142,138,139.5,0.5,0.36%,147.0,139.5,215,140.5,141,163.5,135,,一般,,
2023/08/15,RUF,202309  ,141.5,141.5,137.5,140,1,0.72%,140.0,140,318,140,141,161,134.5,,一般,,
2023/08/15,RUF,202312  ,-,-,-,-,-,-,0.0,139,0,136,145.5,-,-,,一般,,
2023/08/15,RUF,202403  ,-,-,-,-,-,-,0.0,139.5,0,136,145.5,-,-,,一般,,
