交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2023/08/01,RXF,202308  ,13.8,13.87,13.8,13.81,0.26,1.92%,5.0,13.81,3,13.6,13.74,13.87,13.8,,一般,,
2023/08/01,RXF,202309  ,13.85,13.87,13.75,13.78,0.21,1.55%,11.0,13.78,11,13.61,13.75,13.87,13.75,,一般,,
2023/08/01,RXF,202312  ,-,-,-,-,-,-,0.0,13.9,0,-,-,-,-,,一般,,
2023/08/01,RXF,202403  ,14.05,14.06,14.05,14.06,0.36,2.63%,4.0,14.06,4,14.06,-,14.06,14.05,,一般,,
2023/08/01,RXF,202406  ,-,-,-,-,-,-,0.0,14.03,0,-,-,-,-,,一般,,
2023/08/02,RXF,202308  ,13.67,13.67,13.67,13.67,-0.14,-1.01%,1.0,13.67,4,-,-,13.87,13.67,,一般,,
2023/08/02,RXF,202309  ,13.79,13.79,13.54,13.6,-0.18,-1.31%,17.0,13.6,24,13.54,-,13.87,13.54,,一般,,
2023/08/02,RXF,202312  ,13.9,13.9,13.9,13.9,0,0.00%,5.0,13.9,5,-,-,13.9,13.9,,一般,,
2023/08/02,RXF,202403  ,13.87,13.87,13.87,13.87,-0.19,-1.35%,1.0,13.87,5,-,-,14.06,13.87,,一般,,
2023/08/02,RXF,202406  ,-,-,-,-,-,-,0.0,13.89,0,-,-,-,-,,一般,,
2023/08/04,RXF,202308  ,-,-,-,-,-,-,0.0,13.75,4,13.7,13.82,13.87,13.67,,一般,,
2023/08/04,RXF,202309  ,13.49,13.63,13.49,13.63,0.03,0.22%,3.0,13.8,24,13.76,13.84,13.87,13.49,,一般,,
2023/08/04,RXF,202312  ,-,-,-,-,-,-,0.0,13.98,5,13.33,-,13.9,13.9,,一般,,
2023/08/04,RXF,202403  ,-,-,-,-,-,-,0.0,13.95,5,13.33,-,14.06,13.87,,一般,,
2023/08/04,RXF,202406  ,-,-,-,-,-,-,0.0,13.97,0,13.33,-,-,-,,一般,,
2023/08/07,RXF,202308  ,13.86,13.86,13.86,13.86,0.11,0.80%,1.0,13.86,5,13.83,13.96,13.87,13.67,,一般,,
2023/08/07,RXF,202309  ,13.75,13.87,13.75,13.87,0.07,0.51%,3.0,13.87,21,13.85,13.98,13.87,13.49,,一般,,
2023/08/07,RXF,202312  ,-,-,-,-,-,-,0.0,14.09,5,13.45,-,13.9,13.9,,一般,,
2023/08/07,RXF,202403  ,-,-,-,-,-,-,0.0,14.06,5,13.44,-,14.06,13.87,,一般,,
2023/08/07,RXF,202406  ,-,-,-,-,-,-,0.0,14.08,0,13.44,-,-,-,,一般,,
2023/08/08,RXF,202308  ,13.9,13.96,13.9,13.95,0.09,0.65%,4.0,13.95,7,-,14.78,13.96,13.67,,一般,,
2023/08/08,RXF,202309  ,13.96,13.98,13.96,13.98,0.11,0.79%,3.0,13.98,21,-,14.8,13.98,13.49,,一般,,
2023/08/08,RXF,202312  ,-,-,-,-,-,-,0.0,14.18,5,-,-,13.9,13.9,,一般,,
2023/08/08,RXF,202403  ,-,-,-,-,-,-,0.0,14.15,5,-,-,14.06,13.87,,一般,,
