交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2023/11/01,SAF,202311  ,252,252,250.5,250.5,-1.5,-0.60%,2.0,250.5,2,247,-,252,250.5,,一般,,
2023/11/01,SAF,202312  ,-,-,-,-,-,-,0.0,251,0,238.5,-,-,-,,一般,,
2023/11/01,SAF,202403  ,-,-,-,-,-,-,0.0,252.5,0,238.5,-,-,-,,一般,,
2023/11/01,SAF,202406  ,-,-,-,-,-,-,0.0,253.5,0,238.5,-,-,-,,一般,,
2023/11/01,SAF,202409  ,-,-,-,-,-,-,0.0,255,0,238.5,-,-,-,,一般,,
2023/11/02,SAF,202311  ,249.5,250.5,245.5,246,-4.5,-1.80%,15.0,246,17,245.5,249,252,245.5,,一般,,
2023/11/02,SAF,202312  ,-,-,-,-,-,-,0.0,246.5,0,237,257.5,-,-,,一般,,
2023/11/02,SAF,202403  ,-,-,-,-,-,-,0.0,248,0,237.5,257,-,-,,一般,,
2023/11/02,SAF,202406  ,-,-,-,-,-,-,0.0,249,0,237.5,257,-,-,,一般,,
2023/11/02,SAF,202409  ,-,-,-,-,-,-,0.0,250.5,0,237.5,257,-,-,,一般,,
2023/11/03,SAF,202311  ,248.5,252.5,245,245.5,-0.5,-0.20%,29.0,245.5,37,245,-,252.5,245,,一般,,
2023/11/03,SAF,202312  ,-,-,-,-,-,-,0.0,246,0,240,-,-,-,,一般,,
2023/11/03,SAF,202403  ,-,-,-,-,-,-,0.0,244,0,237,-,-,-,,一般,,
2023/11/03,SAF,202406  ,-,-,-,-,-,-,0.0,245,0,237,-,-,-,,一般,,
2023/11/03,SAF,202409  ,-,-,-,-,-,-,0.0,246.5,0,237,-,-,-,,一般,,
2023/11/06,SAF,202311  ,245,248.5,242.5,247.5,2,0.81%,48.0,247.5,70,247.5,249,252.5,242.5,,一般,,
2023/11/06,SAF,202312  ,246.5,246.5,246.5,246.5,0.5,0.20%,2.0,246.5,2,245,257,246.5,246.5,,一般,,
2023/11/06,SAF,202403  ,-,-,-,-,-,-,0.0,246,0,239.5,257,-,-,,一般,,
2023/11/06,SAF,202406  ,-,-,-,-,-,-,0.0,247,0,239.5,257,-,-,,一般,,
