交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2019/10/01,UNF,201912  ,7810,7815,7804,7810,17,0.22%,637.0,7810,60,7807,7811,7815,7804,,一般,,
2019/10/01,UNF,202003  ,7808,7837,7808,7832,16,0.20%,175.0,7832,16,7827,7833,7837,7808,,一般,,
2019/10/01,UNF,202006  ,-,-,-,-,-,-,0.0,7841,0,7350,8100,-,-,,一般,,
2019/10/01,UNF,202009  ,-,-,-,-,-,-,0.0,7867,0,7380,8200,-,-,,一般,,
2019/10/01,UNF,202012  ,-,-,-,-,-,-,0.0,7886,0,7390,8250,-,-,,一般,,
2019/10/02,UNF,201912  ,7715,7722,7703,7712,-98,-1.25%,142.0,7712,232,7710,7732,7841,7687,,一般,,
2019/10/02,UNF,201912  ,7820,7841,7687,7687,-123,-1.57%,947.0,-,-,7685,7730,7841,7687,,盤後,,
2019/10/02,UNF,202003  ,7735,7739,7726,7734,-98,-1.25%,74.0,7734,43,7730,7754,7854,7726,,一般,,
2019/10/02,UNF,202003  ,7833,7854,7767,7775,-57,-0.73%,296.0,-,-,7706,7754,7854,7767,,盤後,,
2019/10/02,UNF,202006  ,-,-,-,-,-,-,0.0,7743,0,7380,8300,-,-,,一般,,
2019/10/02,UNF,202006  ,-,-,-,-,-,-,0.0,-,-,7460,8020,-,-,,盤後,,
2019/10/02,UNF,202009  ,-,-,-,-,-,-,0.0,7769,0,7400,8320,-,-,,一般,,
2019/10/02,UNF,202009  ,-,-,-,-,-,-,0.0,-,-,7410,8080,-,-,,盤後,,
2019/10/02,UNF,202012  ,-,-,-,-,-,-,0.0,7788,0,7420,8350,-,-,,一般,,
2019/10/02,UNF,202012  ,-,-,-,-,-,-,0.0,-,-,7410,8080,-,-,,盤後,,
2019/10/03,UNF,201912  ,7470,7575,7470,7558,-154,-2.00%,461.0,7558,247,7555,7561,7841,7470,,一般,,
2019/10/03,UNF,201912  ,7700,7703,7531,7582,-130,-1.69%,1066.0,-,-,7537,7592,7841,7531,,盤後,,
2019/10/03,UNF,202003  ,7567,7590,7567,7578,-156,-2.02%,275.0,7578,64,7573,7580,7854,7559,,一般,,
2019/10/03,UNF,202003  ,7683,7683,7559,7559,-175,-2.26%,200.0,-,-,7557,7614,7854,7559,,盤後,,
2019/10/03,UNF,202006  ,-,-,-,-,-,-,0.0,7589,0,7556,7630,-,-,,一般,,
2019/10/03,UNF,202006  ,-,-,-,-,-,-,0.0,-,-,7538,7661,-,-,,盤後,,
2019/10/03,UNF,202009  ,-,-,-,-,-,-,0.0,7615,0,7558,7690,-,-,,一般,,
2019/10/03,UNF,202009  ,-,-,-,-,-,-,0.0,-,-,7543,7721,-,-,,盤後,,
2019/10/03,UNF,202012  ,-,-,-,-,-,-,0.0,7634,0,7560,7760,-,-,,一般,,
2019/10/03,UNF,202012  ,-,-,-,-,-,-,0.0,-,-,7546,7761,-,-,,盤後,,
2019/10/04,UNF,201912  ,7642,7681,7640,7672,114,1.51%,515.0,7672,284,7671,7672,7841,7470,,一般,,
2019/10/04,UNF,201912  ,7579,7658,7477,7658,100,1.32%,1227.0,-,-,7631,7667,7841,7470,,盤後,,
2019/10/04,UNF,202003  ,7666,7696,7658,7688,110,1.45%,383.0,7688,193,7687,7689,7854,7507,,一般,,
2019/10/04,UNF,202003  ,7593,7667,7507,7667,89,1.17%,427.0,-,-,7648,7687,7854,7507,,盤後,,
2019/10/04,UNF,202006  ,-,-,-,-,-,-,0.0,7703,0,7672,7741,-,-,,一般,,
2019/10/04,UNF,202006  ,-,-,-,-,-,-,0.0,-,-,7632,7736,-,-,,盤後,,
2019/10/04,UNF,202009  ,-,-,-,-,-,-,0.0,7729,0,7674,7801,-,-,,一般,,
2019/10/04,UNF,202009  ,-,-,-,-,-,-,0.0,-,-,7634,7796,-,-,,盤後,,
2019/10/04,UNF,202012  ,-,-,-,-,-,-,0.0,7748,0,7676,7841,-,-,,一般,,
2019/10/04,UNF,202012  ,-,-,-,-,-,-,0.0,-,-,7636,7836,-,-,,盤後,,
2019/10/07,UNF,201912  ,7739,7740,7723,7733,61,0.80%,335.0,7736,330,7726,7738,7841,7470,,一般,,
2019/10/07,UNF,201912  ,7650,7773,7625,7770,98,1.28%,884.0,-,-,7770,7773,7841,7470,,盤後,,
2019/10/07,UNF,202003  ,7747,7755,7740,7754,66,0.86%,186.0,7754,138,7742,7755,7854,7507,,一般,,
2019/10/07,UNF,202003  ,7672,7784,7648,7784,96,1.25%,178.0,-,-,7786,7792,7854,7507,,盤後,,
2019/10/07,UNF,202006  ,-,-,-,-,-,-,0.0,7767,0,7727,7807,-,-,,一般,,
2019/10/07,UNF,202006  ,-,-,-,-,-,-,0.0,-,-,7771,7842,-,-,,盤後,,
2019/10/07,UNF,202009  ,-,-,-,-,-,-,0.0,7793,0,7728,7867,-,-,,一般,,
2019/10/07,UNF,202009  ,-,-,-,-,-,-,0.0,-,-,7773,7902,-,-,,盤後,,
2019/10/07,UNF,202012  ,-,-,-,-,-,-,0.0,7812,0,7729,7907,-,-,,一般,,
2019/10/07,UNF,202012  ,-,-,-,-,-,-,0.0,-,-,7775,7942,-,-,,盤後,,
2019/10/08,UNF,201912  ,7758,7782,7756,7767,31,0.40%,250.0,7768,315,7767,7770,7841,7470,,一般,,
2019/10/08,UNF,201912  ,7735,7798,7723,7731,-5,-0.06%,682.0,-,-,7727,7771,7841,7470,,盤後,,
2019/10/08,UNF,202003  ,7774,7801,7774,7784,30,0.39%,232.0,7786,108,7784,7789,7854,7507,,一般,,
2019/10/08,UNF,202003  ,7746,7801,7743,7748,-6,-0.08%,423.0,-,-,7743,7790,7854,7507,,盤後,,
2019/10/08,UNF,202006  ,-,-,-,-,-,-,0.0,7799,0,7768,7818,-,-,,一般,,
2019/10/08,UNF,202006  ,-,-,-,-,-,-,0.0,-,-,7728,7839,-,-,,盤後,,
