交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2018/01/22,XBF,201803  ,1.3911,1.3921,1.3883,1.392,0,0.00%,792.0,1.392,90,1.3921,1.3925,1.3921,1.3883,,一般,,
2018/01/22,XBF,201806  ,1.356,1.3961,1.356,1.3961,-0.0009,-0.06%,328.0,1.3961,33,1.397,1.3974,1.3961,1.356,,一般,,
2018/01/22,XBF,201809  ,-,-,-,-,-,-,0.0,1.4023,0,1.361,1.444,-,-,,一般,,
2018/01/22,XBF,201812  ,-,-,-,-,-,-,0.0,1.4077,0,1.366,1.449,-,-,,一般,,
2018/01/23,XBF,201803  ,1.4,1.4025,1.3979,1.3981,0.0061,0.44%,107.0,1.3981,121,1.398,1.3984,1.4025,1.3883,,一般,,
2018/01/23,XBF,201803  ,1.3929,1.399,1.3919,1.3987,0.0067,0.48%,179.0,-,-,1.3966,1.406,1.399,1.3883,,盤後,,
2018/01/23,XBF,201806  ,1.4062,1.4062,1.4032,1.4032,0.0071,0.51%,32.0,1.4032,35,1.4029,1.4033,1.4062,1.356,,一般,,
2018/01/23,XBF,201806  ,-,-,-,-,-,-,0.0,-,-,1.355,1.437,1.3961,1.356,,盤後,,
2018/01/23,XBF,201809  ,-,-,-,-,-,-,0.0,1.4084,0,1.361,1.444,-,-,,一般,,
2018/01/23,XBF,201809  ,-,-,-,-,-,-,0.0,-,-,1.361,1.444,-,-,,盤後,,
2018/01/23,XBF,201812  ,-,-,-,-,-,-,0.0,1.4138,0,1.366,1.449,-,-,,一般,,
2018/01/23,XBF,201812  ,-,-,-,-,-,-,0.0,-,-,1.366,1.449,-,-,,盤後,,
2018/01/24,XBF,201803  ,1.4029,1.4069,1.4029,1.4057,0.0076,0.54%,267.0,1.4057,145,1.4069,1.4073,1.4069,1.3883,,一般,,
2018/01/24,XBF,201803  ,1.3977,1.4053,1.3952,1.4044,0.0063,0.45%,54.0,-,-,1.3995,1.4131,1.4053,1.3883,,盤後,,
2018/01/24,XBF,201806  ,1.4096,1.4106,1.4096,1.4106,0.0074,0.53%,82.0,1.4106,53,1.4119,1.4123,1.4106,1.356,,一般,,
2018/01/24,XBF,201806  ,1.4024,1.4103,1.4024,1.4103,0.0071,0.51%,61.0,-,-,1.362,1.445,1.4103,1.356,,盤後,,
2018/01/24,XBF,201809  ,-,-,-,-,-,-,0.0,1.416,0,1.367,1.45,-,-,,一般,,
2018/01/24,XBF,201809  ,-,-,-,-,-,-,0.0,-,-,1.367,1.45,-,-,,盤後,,
2018/01/24,XBF,201812  ,-,-,-,-,-,-,0.0,1.4214,0,1.372,1.456,-,-,,一般,,
2018/01/24,XBF,201812  ,-,-,-,-,-,-,0.0,-,-,1.372,1.456,-,-,,盤後,,
2018/01/25,XBF,201803  ,1.4248,1.4344,1.4248,1.4266,0.0209,1.49%,486.0,1.4266,328,1.4264,1.4268,1.4344,1.3883,,一般,,
2018/01/25,XBF,201803  ,1.4126,1.4254,1.4121,1.4254,0.0197,1.40%,189.0,-,-,1.4221,1.429,1.4254,1.3883,,盤後,,
2018/01/25,XBF,201806  ,1.4326,1.4364,1.432,1.432,0.0214,1.52%,457.0,1.432,227,1.4314,1.4318,1.4364,1.356,,一般,,
2018/01/25,XBF,201806  ,1.4176,1.4271,1.4176,1.4256,0.015,1.06%,111.0,-,-,1.369,1.452,1.4271,1.356,,盤後,,
2018/01/25,XBF,201809  ,-,-,-,-,-,-,0.0,1.4369,0,1.374,1.458,-,-,,一般,,
2018/01/25,XBF,201809  ,-,-,-,-,-,-,0.0,-,-,1.374,1.458,-,-,,盤後,,
2018/01/25,XBF,201812  ,-,-,-,-,-,-,0.0,1.4423,0,1.379,1.463,-,-,,一般,,
2018/01/25,XBF,201812  ,-,-,-,-,-,-,0.0,-,-,1.379,1.463,-,-,,盤後,,
2018/01/26,XBF,201803  ,1.4688,1.4688,1.414,1.4276,0.001,0.07%,78.0,1.4276,258,1.428,1.4283,1.4688,1.3883,,一般,,
2018/01/26,XBF,201803  ,1.4276,1.435,1.4232,1.4232,-0.0034,-0.24%,120.0,-,-,1.384,1.469,1.435,1.3883,,盤後,,
2018/01/26,XBF,201806  ,1.4295,1.4326,1.4295,1.4326,0.0006,0.04%,32.0,1.4326,226,1.433,1.4333,1.438,1.356,,一般,,
2018/01/26,XBF,201806  ,1.4373,1.438,1.4373,1.438,0.006,0.42%,100.0,-,-,1.39,1.474,1.438,1.356,,盤後,,
2018/01/26,XBF,201809  ,-,-,-,-,-,-,0.0,1.4379,0,1.394,1.479,-,-,,一般,,
2018/01/26,XBF,201809  ,-,-,-,-,-,-,0.0,-,-,1.394,1.479,-,-,,盤後,,
2018/01/26,XBF,201812  ,-,-,-,-,-,-,0.0,1.4433,0,1.4,1.485,-,-,,一般,,
2018/01/26,XBF,201812  ,-,-,-,-,-,-,0.0,-,-,1.4,1.485,-,-,,盤後,,
2018/01/29,XBF,201803  ,1.4174,1.4179,1.4145,1.4145,-0.0131,-0.92%,90.0,1.4145,235,1.4148,1.4152,1.4688,1.3883,,一般,,
2018/01/29,XBF,201803  ,1.427,1.4286,1.422,1.4225,-0.0051,-0.36%,129.0,-,-,1.4066,1.4595,1.4688,1.3883,,盤後,,
2018/01/29,XBF,201806  ,1.42,1.42,1.42,1.42,-0.0126,-0.88%,1.0,1.42,132,1.42,1.4203,1.438,1.356,,一般,,
2018/01/29,XBF,201806  ,1.4337,1.4337,1.4271,1.4274,-0.0052,-0.36%,155.0,-,-,1.39,1.475,1.438,1.356,,盤後,,
2018/01/29,XBF,201809  ,-,-,-,-,-,-,0.0,1.4248,0,1.395,1.48,-,-,,一般,,
2018/01/29,XBF,201809  ,-,-,-,-,-,-,0.0,-,-,1.395,1.48,-,-,,盤後,,
2018/01/29,XBF,201812  ,-,-,-,-,-,-,0.0,1.4302,0,1.401,1.486,-,-,,一般,,
