交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,XIF,201501,11320,11379,11234,11334,-61,-0.54%,656,11334.0,555,11341,11350,11490,10869,,
2015/1/5,XIF,201502,11318,11370,11238,11360,-35,-0.31%,98,11341.0,57,11336,11346,11481,10874,,
2015/1/5,XIF,201503,-,-,-,-,-,-,-,11297.0,5,11316,11336,11470,10945,,
2015/1/5,XIF,201506,-,-,-,-,-,-,-,11084.0,0,11212,11379,-,-,,
2015/1/5,XIF,201509,-,-,-,-,-,-,-,10893.0,0,10801,11153,-,-,,
2015/1/6,XIF,201501,11219,11224,11111,11145,-189,-1.67%,666,11145.0,575,11139,11148,11490,10869,,
2015/1/6,XIF,201502,11223,11223,11114,11141,-200,-1.76%,56,11141.0,57,11138,11147,11481,10874,,
2015/1/6,XIF,201503,-,-,-,-,-,-,-,11108.0,5,11119,11180,11470,10945,,
2015/1/6,XIF,201506,-,-,-,-,-,-,-,10895.0,0,11009,11178,-,-,,
2015/1/6,XIF,201509,-,-,-,-,-,-,-,10704.0,0,10599,10949,-,-,,
2015/1/7,XIF,201501,11120,11175,11081,11081,-64,-0.57%,261,11083.0,597,11081,11091,11490,10869,,
2015/1/7,XIF,201502,11123,11159,11086,11086,-55,-0.49%,28,11086.0,63,11080,11090,11481,10874,,
2015/1/7,XIF,201503,-,-,-,-,-,-,-,11046.0,5,11066,11080,11470,10945,,
2015/1/7,XIF,201506,-,-,-,-,-,-,-,10833.0,0,10962,11120,-,-,,
2015/1/7,XIF,201509,-,-,-,-,-,-,-,10642.0,0,10541,10894,-,-,,
2015/1/8,XIF,201501,11147,11364,11147,11333,250,2.26%,747,11325.0,556,11323,11333,11490,10869,,
2015/1/8,XIF,201502,11199,11356,11198,11316,230,2.07%,95,11327.0,49,11322,11332,11481,10874,,
2015/1/8,XIF,201503,-,-,-,-,-,-,-,11288.0,5,11308,11322,11470,10945,,
2015/1/8,XIF,201506,-,-,-,-,-,-,-,11075.0,0,11204,11362,-,-,,
2015/1/8,XIF,201509,-,-,-,-,-,-,-,10884.0,0,10783,11136,-,-,,
2015/1/9,XIF,201501,11420,11420,11322,11357,32,0.28%,490,11357.0,516,11354,11362,11490,10869,,
2015/1/9,XIF,201502,11390,11397,11326,11360,33,0.29%,154,11360.0,89,11355,11363,11481,10874,,
2015/1/9,XIF,201503,-,-,-,-,-,-,-,11320.0,5,11341,11368,11470,10945,,
2015/1/9,XIF,201506,-,-,-,-,-,-,-,11107.0,0,11234,11387,-,-,,
2015/1/9,XIF,201509,-,-,-,-,-,-,-,10916.0,0,10815,11257,-,-,,
2015/1/12,XIF,201501,11295,11370,11293,11358,1,0.01%,462,11355.0,513,11349,11358,11490,10869,,
2015/1/12,XIF,201502,11310,11373,11302,11353,-7,-0.06%,133,11353.0,75,11349,11355,11481,10874,,
2015/1/12,XIF,201503,-,-,-,-,-,-,-,11318.0,5,11289,11385,11470,10945,,
2015/1/12,XIF,201506,-,-,-,-,-,-,-,11105.0,0,11229,11389,-,-,,
2015/1/12,XIF,201509,-,-,-,-,-,-,-,10914.0,0,10809,11163,-,-,,
2015/1/13,XIF,201501,11383,11482,11326,11449,94,0.83%,731,11449.0,483,11440,11450,11490,10869,,
2015/1/13,XIF,201502,11322,11479,11322,11449,96,0.85%,79,11449.0,90,11439,11451,11481,10874,,
2015/1/13,XIF,201503,-,-,-,-,-,-,-,11412.0,5,11425,11482,11470,10945,,
2015/1/13,XIF,201506,-,-,-,-,-,-,-,11199.0,0,11323,11480,-,-,,
2015/1/13,XIF,201509,-,-,-,-,-,-,-,11008.0,0,10900,11253,-,-,,
2015/1/14,XIF,201501,11445,11450,11328,11366,-83,-0.72%,564,11357.0,419,11356,11371,11490,10869,,
2015/1/14,XIF,201502,11428,11428,11335,11359,-90,-0.79%,181,11359.0,95,11359,11368,11481,10874,,
2015/1/14,XIF,201503,-,-,-,-,-,-,-,11320.0,5,11345,11359,11470,10945,,
2015/1/14,XIF,201506,-,-,-,-,-,-,-,11107.0,0,11238,11402,-,-,,
2015/1/14,XIF,201509,-,-,-,-,-,-,-,10916.0,0,10816,11177,-,-,,
2015/1/15,XIF,201501,11385,11397,11267,11354,-3,-0.03%,557,11355.0,388,11355,11363,11490,10869,,
2015/1/15,XIF,201502,11377,11393,11270,11369,10,0.09%,327,11370.0,128,11370,11377,11481,10874,,
2015/1/15,XIF,201503,-,-,-,-,-,-,-,11318.0,5,11356,11370,11470,10945,,
2015/1/15,XIF,201506,-,-,-,-,-,-,-,11105.0,0,11237,11390,-,-,,
2015/1/15,XIF,201509,-,-,-,-,-,-,-,10914.0,0,10815,11183,-,-,,
2015/1/16,XIF,201501,11220,11278,11131,11196,-159,-1.40%,800,11196.0,466,11193,11200,11490,10869,,
2015/1/16,XIF,201502,11225,11288,11135,11207,-163,-1.43%,284,11207.0,183,11195,11200,11481,10874,,
2015/1/16,XIF,201503,11318,-,-,11318,0,0.00%,2,11159.0,5,11181,11230,11470,10945,,
2015/1/16,XIF,201506,-,-,-,-,-,-,-,10946.0,0,11073,11240,-,-,,
2015/1/16,XIF,201509,-,-,-,-,-,-,-,10755.0,0,10663,11009,-,-,,
2015/1/19,XIF,201501,11316,11367,11236,11253,57,0.51%,493,11253.0,381,11261,11270,11490,10869,,
2015/1/19,XIF,201502,11324,11374,11252,11263,56,0.50%,409,11263.0,211,11266,11276,11481,10874,,
2015/1/19,XIF,201503,-,-,-,-,-,-,-,11216.0,5,11201,11301,11470,10945,,
2015/1/19,XIF,201506,-,-,-,-,-,-,-,11003.0,0,11141,11310,-,-,,
2015/1/19,XIF,201509,-,-,-,-,-,-,-,10812.0,0,10731,11079,-,-,,
2015/1/20,XIF,201501,11316,11393,11279,11369,116,1.03%,298,11369.0,361,11368,11382,11490,10869,,
2015/1/20,XIF,201502,11316,11397,11286,11371,108,0.96%,165,11371.0,217,11378,11391,11481,10874,,
2015/1/20,XIF,201503,-,-,-,-,-,-,-,11332.0,5,11308,11396,11470,10945,,
2015/1/20,XIF,201506,-,-,-,-,-,-,-,11119.0,0,11248,11400,-,-,,
2015/1/20,XIF,201509,-,-,-,-,-,-,-,10928.0,0,10838,11181,-,-,,
2015/1/21,XIF,201501,11372,11452,11368,11444,75,0.66%,1154,0.0,625,11445,11446,11490,10869,,
2015/1/21,XIF,201502,11398,11465,11391,11440,69,0.61%,377,11440.0,255,11440,11451,11481,10874,,
2015/1/21,XIF,201503,11412,11448,11412,11448,116,1.02%,3,11439.0,7,11431,11447,11470,10945,,
2015/1/21,XIF,201506,-,-,-,-,-,-,-,11194.0,0,11341,11490,-,-,,
2015/1/21,XIF,201509,-,-,-,-,-,-,-,11003.0,0,10901,11246,-,-,,
2015/1/22,XIF,201502,11542,11560,11473,11548,108,0.94%,412,11546.0,314,11546,11550,11560,10874,,
2015/1/22,XIF,201503,11479,11551,11479,11542,103,0.90%,39,11542.0,21,11542,11552,11551,10945,,
2015/1/22,XIF,201506,-,-,-,-,-,-,-,11300.0,0,11486,11587,-,-,,
2015/1/22,XIF,201509,-,-,-,-,-,-,-,11109.0,0,11106,11348,-,-,,
2015/1/22,XIF,201512,-,-,-,-,-,-,-,11130.0,0,11006,11750,-,-,,
2015/1/23,XIF,201502,11588,11612,11550,11559,13,0.11%,433,11558.0,351,11547,11562,11612,10874,,
2015/1/23,XIF,201503,11598,11598,11554,11555,13,0.11%,37,11555.0,20,11547,11559,11598,10945,,
2015/1/23,XIF,201506,-,-,-,-,-,-,-,11312.0,0,11507,11606,-,-,,
2015/1/23,XIF,201509,-,-,-,-,-,-,-,11121.0,0,11132,11349,-,-,,
2015/1/23,XIF,201512,-,-,-,-,-,-,-,11142.0,0,11027,11347,-,-,,
2015/1/26,XIF,201502,11522,11544,11511,11512,-46,-0.40%,214,11512.0,329,11510,11530,11612,10874,,
2015/1/26,XIF,201503,11538,11540,11515,11518,-37,-0.32%,25,11518.0,21,11508,11534,11598,10945,,
2015/1/26,XIF,201506,-,-,-,-,-,-,-,11266.0,0,11461,11549,-,-,,
2015/1/26,XIF,201509,-,-,-,-,-,-,-,11075.0,0,10980,11329,-,-,,
2015/1/26,XIF,201512,-,-,-,-,-,-,-,11096.0,0,10950,11318,-,-,,
2015/1/27,XIF,201502,11537,11584,11523,11568,56,0.49%,231,11568.0,352,11565,11576,11612,10874,,
2015/1/27,XIF,201503,11585,11585,11528,11567,49,0.43%,61,11567.0,32,11565,11579,11598,10945,,
2015/1/27,XIF,201506,-,-,-,-,-,-,-,11322.0,0,11516,11595,-,-,,
2015/1/27,XIF,201509,-,-,-,-,-,-,-,11131.0,0,11036,11363,-,-,,
2015/1/27,XIF,201512,-,-,-,-,-,-,-,11152.0,0,11005,11361,-,-,,
2015/1/28,XIF,201502,11514,11591,11514,11563,-5,-0.04%,264,11563.0,357,11562,11575,11612,10874,,
2015/1/28,XIF,201503,11547,11587,11547,11567,0,0.00%,32,11567.0,45,11566,11576,11598,10945,,
2015/1/28,XIF,201506,-,-,-,-,-,-,-,11317.0,0,11508,11594,-,-,,
2015/1/28,XIF,201509,-,-,-,-,-,-,-,11126.0,0,11024,11371,-,-,,
2015/1/28,XIF,201512,-,-,-,-,-,-,-,11147.0,0,10943,11360,-,-,,
2015/1/29,XIF,201502,11549,11575,11500,11508,-55,-0.48%,370,11508.0,452,11500,11508,11612,10874,,
2015/1/29,XIF,201503,11552,11578,11506,11513,-54,-0.47%,59,11513.0,67,11497,11510,11598,10945,,
2015/1/29,XIF,201506,-,-,-,-,-,-,-,11262.0,0,11451,11528,-,-,,
2015/1/29,XIF,201509,-,-,-,-,-,-,-,11071.0,0,10970,11307,-,-,,
2015/1/29,XIF,201512,-,-,-,-,-,-,-,11092.0,0,10940,11295,-,-,,
2015/1/30,XIF,201502,11566,11566,11476,11483,-25,-0.22%,166,11483.0,431,11486,11500,11612,10874,,
2015/1/30,XIF,201503,11528,11541,11482,11482,-31,-0.27%,17,11482.0,65,11487,11501,11598,10945,,
